id_colis,id_produit,id_commande,exemplaire,motif
101791,1871,87618,1,produit abimé
101791,87,87618,3,il existe une différence entre la fiche produit et l’article livré
101808,159,5434,4,il y a un problème de taille
101823,1349,39261,1,il existe une différence entre la fiche produit et l’article livré
101844,1067,54804,1,il y a un problème de taille
101885,63,43744,4,produit abimé
101899,2082,34430,5,il existe une différence entre la fiche produit et l’article livré
101970,1746,59409,3,il existe une différence entre la fiche produit et l’article livré
101984,413,2184,1,Le produit n’est pas à la hauteur de mes attentes
102011,29,45867,3,il y a un problème de taille
102017,132,78220,1,Le produit n’est pas à la hauteur de mes attentes
102021,1112,18029,5,j ai finalement changé d’avis sur mes besoins
102051,1002,48605,2,produit abimé
102072,698,56686,1,Le produit ne convient pas
102092,118,71108,5,Le produit n’est pas à la hauteur de mes attentes
102111,1201,14503,2,j ai finalement changé d’avis sur mes besoins
102119,1800,23055,3,Le produit n’est pas à la hauteur de mes attentes
102131,888,35267,1,produit abimé
102164,890,84242,1,produit abimé
102172,1052,18480,1,il existe une différence entre la fiche produit et l’article livré
102186,100,1259,2,produit abimé
102191,959,13027,2,produit abimé
102201,480,34927,1,produit abimé
102234,1510,29992,1,il existe une différence entre la fiche produit et l’article livré
102238,1105,39215,2,j ai finalement changé d’avis sur mes besoins
102264,1751,25236,2,il existe une différence entre la fiche produit et l’article livré
102274,1859,76979,3,Le produit ne convient pas
102289,374,36177,2,il y a un problème de taille
102291,514,20965,3,produit abimé
102302,476,81298,4,produit abimé
102349,608,55325,1,Le produit ne convient pas
102359,275,76007,3,il y a un problème de taille
102361,875,96560,1,la couleur du produit ne me plaît pas
102380,715,14457,1,j ai finalement changé d’avis sur mes besoins
102422,753,51819,3,j ai finalement changé d’avis sur mes besoins
102422,830,51819,4,il y a un problème de taille
102424,161,31304,3,produit abimé
102437,1388,34829,3,la couleur du produit ne me plaît pas
102442,952,93681,4,Le produit n’est pas à la hauteur de mes attentes
102462,1178,94188,1,Le produit n’est pas à la hauteur de mes attentes
102465,874,31680,1,Le produit n’est pas à la hauteur de mes attentes
102507,482,7553,3,produit abimé
102517,743,312,4,produit abimé
102528,30,83231,2,il y a un problème de taille
102538,1459,83567,4,Le produit n’est pas à la hauteur de mes attentes
102555,1124,54010,1,Le produit ne convient pas
102558,779,68773,2,il existe une différence entre la fiche produit et l’article livré
102564,984,10031,3,Le produit ne convient pas
102577,1726,2831,1,il existe une différence entre la fiche produit et l’article livré
102588,931,90066,4,il existe une différence entre la fiche produit et l’article livré
102588,68,90066,5,j ai finalement changé d’avis sur mes besoins
102595,492,97917,5,j ai finalement changé d’avis sur mes besoins
102630,607,66231,1,Le produit ne convient pas
102636,1314,82920,1,il y a un problème de taille
102650,1745,15720,2,il existe une différence entre la fiche produit et l’article livré
102677,1259,36510,3,il existe une différence entre la fiche produit et l’article livré
102683,147,5339,2,il existe une différence entre la fiche produit et l’article livré
102688,1865,77543,2,il existe une différence entre la fiche produit et l’article livré
102696,1314,97006,1,produit abimé
102709,1772,36028,4,la couleur du produit ne me plaît pas
102715,2086,71806,2,Le produit ne convient pas
102752,570,85950,4,il existe une différence entre la fiche produit et l’article livré
102761,1348,32818,3,il y a un problème de taille
102767,447,29588,3,la couleur du produit ne me plaît pas
102768,1696,99376,3,il y a un problème de taille
102782,390,8704,2,Le produit ne convient pas
102793,1830,29502,3,j ai finalement changé d’avis sur mes besoins
102820,1895,38576,3,il existe une différence entre la fiche produit et l’article livré
102851,465,50828,4,il existe une différence entre la fiche produit et l’article livré
102861,999,85218,2,j ai finalement changé d’avis sur mes besoins
102889,284,41994,1,il y a un problème de taille
102912,1301,82710,1,j ai finalement changé d’avis sur mes besoins
102925,1516,7025,3,Le produit n’est pas à la hauteur de mes attentes
102935,64,73708,1,Le produit n’est pas à la hauteur de mes attentes
102961,1022,15415,3,Le produit ne convient pas
102965,598,38729,1,Le produit n’est pas à la hauteur de mes attentes
102983,2035,17428,2,produit abimé
102986,1196,54572,4,la couleur du produit ne me plaît pas
103001,692,19981,3,la couleur du produit ne me plaît pas
103033,816,96303,1,Le produit ne convient pas
103035,1821,13074,2,il existe une différence entre la fiche produit et l’article livré
103061,1391,23796,2,j ai finalement changé d’avis sur mes besoins
103081,929,14717,5,il existe une différence entre la fiche produit et l’article livré
103092,891,21620,1,j ai finalement changé d’avis sur mes besoins
103094,789,97879,1,j ai finalement changé d’avis sur mes besoins
103150,223,21637,1,Le produit ne convient pas
103150,1955,21637,3,il y a un problème de taille
103168,2008,38064,3,Le produit ne convient pas
103185,304,56685,1,produit abimé
103202,1513,46028,3,il y a un problème de taille
103224,1201,83965,4,il y a un problème de taille
103241,744,51106,4,la couleur du produit ne me plaît pas
103263,1015,7860,1,Le produit ne convient pas
103268,26,49687,1,il y a un problème de taille
103314,2020,56608,1,il existe une différence entre la fiche produit et l’article livré
103323,1859,40074,3,il existe une différence entre la fiche produit et l’article livré
103350,439,88244,2,Le produit n’est pas à la hauteur de mes attentes
103359,260,86754,1,j ai finalement changé d’avis sur mes besoins
103360,942,95110,1,il existe une différence entre la fiche produit et l’article livré
103378,256,28330,4,Le produit ne convient pas
103427,873,96329,1,il existe une différence entre la fiche produit et l’article livré
103452,102,52581,1,j ai finalement changé d’avis sur mes besoins
103460,1554,89924,4,la couleur du produit ne me plaît pas
103466,1691,39509,2,Le produit ne convient pas
103476,753,87683,2,la couleur du produit ne me plaît pas
103506,843,77000,3,Le produit n’est pas à la hauteur de mes attentes
103509,1447,95249,4,Le produit n’est pas à la hauteur de mes attentes
103509,743,95249,5,j ai finalement changé d’avis sur mes besoins
103510,317,2948,3,produit abimé
103511,2148,46370,2,il y a un problème de taille
103522,1255,84174,3,Le produit n’est pas à la hauteur de mes attentes
103544,140,94269,1,Le produit n’est pas à la hauteur de mes attentes
103547,607,85859,1,j ai finalement changé d’avis sur mes besoins
103562,928,26850,2,il existe une différence entre la fiche produit et l’article livré
103605,887,22336,3,Le produit n’est pas à la hauteur de mes attentes
103617,1775,22548,1,Le produit ne convient pas
103622,593,22963,3,la couleur du produit ne me plaît pas
103635,2126,52091,3,Le produit ne convient pas
103665,851,983,1,Le produit ne convient pas
103676,969,78293,2,Le produit ne convient pas
103679,134,71633,1,il existe une différence entre la fiche produit et l’article livré
103680,720,3477,1,j ai finalement changé d’avis sur mes besoins
103685,1225,71863,4,il existe une différence entre la fiche produit et l’article livré
103689,1006,64719,1,il existe une différence entre la fiche produit et l’article livré
103693,627,99229,3,il y a un problème de taille
103695,498,74776,2,il y a un problème de taille
103723,1293,41758,1,il existe une différence entre la fiche produit et l’article livré
103725,1180,61072,2,Le produit ne convient pas
103732,2015,71453,3,j ai finalement changé d’avis sur mes besoins
103756,1257,17616,1,Le produit n’est pas à la hauteur de mes attentes
103756,63,17616,2,j ai finalement changé d’avis sur mes besoins
103761,1502,8021,1,Le produit ne convient pas
103763,1562,10775,5,Le produit n’est pas à la hauteur de mes attentes
103764,793,87379,3,Le produit ne convient pas
103764,1791,87379,4,la couleur du produit ne me plaît pas
103767,98,49872,1,j ai finalement changé d’avis sur mes besoins
103770,1670,80223,1,il y a un problème de taille
103778,1431,80926,2,Le produit n’est pas à la hauteur de mes attentes
103785,76,92791,1,Le produit n’est pas à la hauteur de mes attentes
103805,2192,16461,4,il existe une différence entre la fiche produit et l’article livré
103900,1457,90050,5,produit abimé
103906,1988,87813,1,il existe une différence entre la fiche produit et l’article livré
103921,713,10822,2,il existe une différence entre la fiche produit et l’article livré
103935,330,18051,4,produit abimé
103956,826,48402,5,j ai finalement changé d’avis sur mes besoins
104053,1678,26323,1,il existe une différence entre la fiche produit et l’article livré
104053,203,26323,3,produit abimé
104054,1547,3409,1,il existe une différence entre la fiche produit et l’article livré
104062,937,70472,2,produit abimé
104064,775,87272,1,il existe une différence entre la fiche produit et l’article livré
104075,1636,45459,1,Le produit n’est pas à la hauteur de mes attentes
104075,2014,45459,4,produit abimé
104083,1510,19273,1,il existe une différence entre la fiche produit et l’article livré
104102,1605,95753,2,il existe une différence entre la fiche produit et l’article livré
104125,543,56265,1,Le produit n’est pas à la hauteur de mes attentes
104128,1771,53091,2,Le produit ne convient pas
104163,1615,77001,1,Le produit ne convient pas
104204,872,34578,1,il y a un problème de taille
104254,1391,6124,2,j ai finalement changé d’avis sur mes besoins
104256,1601,46397,1,Le produit n’est pas à la hauteur de mes attentes
104277,1773,84326,1,produit abimé
104283,1962,50174,4,il y a un problème de taille
104292,1408,55378,2,la couleur du produit ne me plaît pas
104302,1118,62046,1,Le produit n’est pas à la hauteur de mes attentes
104307,2178,23702,5,produit abimé
104310,2129,28313,3,j ai finalement changé d’avis sur mes besoins
104337,2174,68845,1,Le produit n’est pas à la hauteur de mes attentes
104364,361,81641,4,j ai finalement changé d’avis sur mes besoins
104372,2006,46486,4,il existe une différence entre la fiche produit et l’article livré
104374,778,62253,2,la couleur du produit ne me plaît pas
104379,1909,51647,2,Le produit ne convient pas
104405,73,35900,3,Le produit ne convient pas
104433,1611,75978,2,la couleur du produit ne me plaît pas
104434,1327,2753,5,il existe une différence entre la fiche produit et l’article livré
104444,129,98170,3,il y a un problème de taille
104514,1738,59129,1,la couleur du produit ne me plaît pas
104516,2112,57978,1,j ai finalement changé d’avis sur mes besoins
104525,411,17020,4,il y a un problème de taille
104530,1246,32616,2,Le produit n’est pas à la hauteur de mes attentes
104532,912,17621,2,Le produit n’est pas à la hauteur de mes attentes
104538,1850,66850,4,il existe une différence entre la fiche produit et l’article livré
104566,385,6910,1,Le produit ne convient pas
104581,1272,27521,2,Le produit ne convient pas
104581,248,27521,4,produit abimé
104588,2118,84443,1,Le produit ne convient pas
104589,1033,86566,1,il y a un problème de taille
104600,841,55262,1,j ai finalement changé d’avis sur mes besoins
104604,1891,77765,2,il existe une différence entre la fiche produit et l’article livré
104616,7,75437,3,produit abimé
104620,1494,93741,3,Le produit n’est pas à la hauteur de mes attentes
104628,287,15322,2,il existe une différence entre la fiche produit et l’article livré
104631,59,73371,5,il y a un problème de taille
104633,1534,52245,1,il existe une différence entre la fiche produit et l’article livré
104640,1711,51526,3,la couleur du produit ne me plaît pas
104643,631,53919,2,Le produit n’est pas à la hauteur de mes attentes
104654,453,80085,1,il existe une différence entre la fiche produit et l’article livré
104655,1142,52187,1,j ai finalement changé d’avis sur mes besoins
104692,422,79164,3,Le produit ne convient pas
104692,1326,79164,4,la couleur du produit ne me plaît pas
104702,368,14448,1,la couleur du produit ne me plaît pas
104703,1356,30985,2,Le produit ne convient pas
104711,1502,21515,2,la couleur du produit ne me plaît pas
104720,1857,74768,2,il y a un problème de taille
104725,704,45388,3,la couleur du produit ne me plaît pas
104747,643,72978,3,j ai finalement changé d’avis sur mes besoins
104762,1778,13904,1,il existe une différence entre la fiche produit et l’article livré
104769,1694,30124,1,Le produit n’est pas à la hauteur de mes attentes
104797,2154,18054,4,la couleur du produit ne me plaît pas
104798,1999,36716,1,j ai finalement changé d’avis sur mes besoins
104831,1077,26276,1,Le produit n’est pas à la hauteur de mes attentes
104833,71,15758,2,Le produit n’est pas à la hauteur de mes attentes
104841,189,9264,4,il y a un problème de taille
104859,1992,2390,2,Le produit ne convient pas
104888,1683,38312,5,il existe une différence entre la fiche produit et l’article livré
104893,65,14332,4,la couleur du produit ne me plaît pas
104926,531,37528,3,Le produit n’est pas à la hauteur de mes attentes
104945,1477,45880,1,Le produit n’est pas à la hauteur de mes attentes
104958,1164,90011,1,Le produit ne convient pas
104964,1089,46806,1,la couleur du produit ne me plaît pas
104979,978,66515,4,j ai finalement changé d’avis sur mes besoins
104981,879,37083,3,j ai finalement changé d’avis sur mes besoins
104995,392,30742,3,la couleur du produit ne me plaît pas
105003,1257,89077,3,il y a un problème de taille
105004,1367,81564,2,produit abimé
105016,1243,86242,2,Le produit n’est pas à la hauteur de mes attentes
105024,117,2644,3,il existe une différence entre la fiche produit et l’article livré
105024,1688,2644,5,la couleur du produit ne me plaît pas
105026,1472,19082,2,Le produit n’est pas à la hauteur de mes attentes
105030,1978,40517,3,il existe une différence entre la fiche produit et l’article livré
105049,207,30012,3,produit abimé
105054,2042,28299,2,il existe une différence entre la fiche produit et l’article livré
105061,825,18153,4,il y a un problème de taille
105062,1633,63303,1,Le produit ne convient pas
105066,1709,68014,1,il y a un problème de taille
105087,171,65679,1,la couleur du produit ne me plaît pas
105091,2197,12742,2,produit abimé
105093,1320,32685,1,il existe une différence entre la fiche produit et l’article livré
105099,1954,3256,4,j ai finalement changé d’avis sur mes besoins
105105,1059,38417,2,j ai finalement changé d’avis sur mes besoins
105107,98,93931,2,il y a un problème de taille
105164,1286,69723,2,j ai finalement changé d’avis sur mes besoins
105168,1086,55660,4,Le produit ne convient pas
105170,1353,43405,2,j ai finalement changé d’avis sur mes besoins
105176,1215,33807,3,j ai finalement changé d’avis sur mes besoins
105202,1771,89034,4,il y a un problème de taille
105203,1186,40557,4,j ai finalement changé d’avis sur mes besoins
105216,2054,33400,1,il existe une différence entre la fiche produit et l’article livré
105218,1906,14209,2,il y a un problème de taille
105224,393,61872,1,il y a un problème de taille
105248,1371,66440,1,il y a un problème de taille
105276,1754,61614,4,Le produit n’est pas à la hauteur de mes attentes
105281,61,8653,1,Le produit n’est pas à la hauteur de mes attentes
105291,57,96659,1,la couleur du produit ne me plaît pas
105327,1646,41152,2,la couleur du produit ne me plaît pas
105364,326,48714,2,la couleur du produit ne me plaît pas
105403,20,73641,2,Le produit ne convient pas
105410,1378,12825,3,il y a un problème de taille
105412,1627,23282,4,la couleur du produit ne me plaît pas
105458,1850,42725,5,la couleur du produit ne me plaît pas
105488,1363,37785,3,il existe une différence entre la fiche produit et l’article livré
105504,1986,5651,1,il y a un problème de taille
105506,1263,60263,1,la couleur du produit ne me plaît pas
105509,1999,20850,2,j ai finalement changé d’avis sur mes besoins
105521,638,96161,2,la couleur du produit ne me plaît pas
105524,1425,47591,3,il existe une différence entre la fiche produit et l’article livré
105542,587,85662,2,Le produit n’est pas à la hauteur de mes attentes
105542,30,85662,3,la couleur du produit ne me plaît pas
105579,1777,30988,5,Le produit ne convient pas
105597,407,54534,1,Le produit n’est pas à la hauteur de mes attentes
105600,1474,31208,4,Le produit n’est pas à la hauteur de mes attentes
105604,1015,34032,4,il existe une différence entre la fiche produit et l’article livré
105610,326,22739,3,Le produit n’est pas à la hauteur de mes attentes
105625,1393,10186,4,la couleur du produit ne me plaît pas
105635,1145,17837,1,la couleur du produit ne me plaît pas
105682,485,38739,5,il y a un problème de taille
105686,127,2507,5,produit abimé
105709,891,79070,1,la couleur du produit ne me plaît pas
105741,2046,25989,1,Le produit ne convient pas
105746,482,50863,2,Le produit ne convient pas
105774,1744,71562,2,il existe une différence entre la fiche produit et l’article livré
105784,780,13264,1,j ai finalement changé d’avis sur mes besoins
105827,533,93473,1,Le produit n’est pas à la hauteur de mes attentes
105827,1616,93473,3,la couleur du produit ne me plaît pas
105831,1990,97447,1,il y a un problème de taille
105833,273,94751,3,produit abimé
105836,1966,6065,1,j ai finalement changé d’avis sur mes besoins
105853,1858,23264,3,j ai finalement changé d’avis sur mes besoins
105858,352,71828,4,Le produit n’est pas à la hauteur de mes attentes
105870,1284,38071,2,la couleur du produit ne me plaît pas
105879,202,73517,2,produit abimé
105883,1958,57315,4,Le produit ne convient pas
105905,1104,72069,1,la couleur du produit ne me plaît pas
105908,2045,87217,3,Le produit ne convient pas
105914,1958,22592,1,produit abimé
105915,479,84185,3,j ai finalement changé d’avis sur mes besoins
105922,667,86669,1,j ai finalement changé d’avis sur mes besoins
105935,626,44673,2,Le produit n’est pas à la hauteur de mes attentes
105953,977,81783,1,il y a un problème de taille
105956,541,17438,2,j ai finalement changé d’avis sur mes besoins
105989,176,61650,2,Le produit ne convient pas
105990,236,45610,3,la couleur du produit ne me plaît pas
105997,1487,18145,5,il y a un problème de taille
106019,306,99874,3,Le produit ne convient pas
106039,1716,23559,1,Le produit ne convient pas
106048,1587,4056,4,j ai finalement changé d’avis sur mes besoins
106061,59,11721,4,Le produit n’est pas à la hauteur de mes attentes
106068,1030,42611,4,il existe une différence entre la fiche produit et l’article livré
106078,975,38303,1,il y a un problème de taille
106081,264,14470,2,la couleur du produit ne me plaît pas
106086,406,52958,1,il existe une différence entre la fiche produit et l’article livré
106097,1647,60947,1,il y a un problème de taille
106116,1957,55691,1,Le produit n’est pas à la hauteur de mes attentes
106148,498,6844,1,Le produit ne convient pas
106149,1040,27801,1,il existe une différence entre la fiche produit et l’article livré
106149,1909,27801,4,il y a un problème de taille
106173,1842,63130,4,la couleur du produit ne me plaît pas
106197,207,46845,4,Le produit ne convient pas
106198,1095,55029,5,Le produit n’est pas à la hauteur de mes attentes
106226,1635,63662,1,Le produit n’est pas à la hauteur de mes attentes
106232,165,83648,4,il existe une différence entre la fiche produit et l’article livré
106288,438,67806,1,Le produit n’est pas à la hauteur de mes attentes
106303,1090,36330,1,il existe une différence entre la fiche produit et l’article livré
106305,1992,36158,1,Le produit n’est pas à la hauteur de mes attentes
106319,1792,90521,5,produit abimé
106347,399,20669,1,j ai finalement changé d’avis sur mes besoins
106368,66,43628,2,j ai finalement changé d’avis sur mes besoins
106379,173,71282,3,j ai finalement changé d’avis sur mes besoins
106392,2104,57673,2,j ai finalement changé d’avis sur mes besoins
106394,1597,81919,4,il y a un problème de taille
106429,377,14928,4,Le produit ne convient pas
106432,638,42664,2,la couleur du produit ne me plaît pas
106435,2138,29796,1,il existe une différence entre la fiche produit et l’article livré
106436,1322,28100,2,il existe une différence entre la fiche produit et l’article livré
106443,2180,21594,3,produit abimé
106460,1106,87363,1,j ai finalement changé d’avis sur mes besoins
106498,2038,43916,3,Le produit ne convient pas
106533,340,6178,3,Le produit n’est pas à la hauteur de mes attentes
106534,1581,53136,5,Le produit ne convient pas
106562,1124,25128,1,la couleur du produit ne me plaît pas
106568,301,20839,1,Le produit n’est pas à la hauteur de mes attentes
106569,1446,18681,5,produit abimé
106575,1901,48491,1,Le produit n’est pas à la hauteur de mes attentes
106580,425,10317,1,produit abimé
106585,1587,56021,4,Le produit n’est pas à la hauteur de mes attentes
106601,1355,25615,1,j ai finalement changé d’avis sur mes besoins
106603,1324,32180,2,il y a un problème de taille
106607,57,73860,3,il y a un problème de taille
106607,803,73860,4,il y a un problème de taille
106627,1185,71075,5,produit abimé
106633,2125,42539,1,j ai finalement changé d’avis sur mes besoins
106660,1482,61321,2,Le produit n’est pas à la hauteur de mes attentes
106676,510,31796,1,j ai finalement changé d’avis sur mes besoins
106685,277,91650,2,produit abimé
106702,2006,1783,1,j ai finalement changé d’avis sur mes besoins
106718,1518,51167,2,Le produit n’est pas à la hauteur de mes attentes
106722,1318,80010,1,j ai finalement changé d’avis sur mes besoins
106725,1192,55173,1,j ai finalement changé d’avis sur mes besoins
106751,1460,63811,2,produit abimé
106755,363,99708,4,j ai finalement changé d’avis sur mes besoins
106763,1785,34208,2,Le produit n’est pas à la hauteur de mes attentes
106798,2014,57899,1,j ai finalement changé d’avis sur mes besoins
106798,1974,57899,2,Le produit ne convient pas
106811,1486,97394,2,produit abimé
106816,1616,42909,2,il y a un problème de taille
106837,2062,87538,4,j ai finalement changé d’avis sur mes besoins
106845,1824,19448,1,produit abimé
106850,1453,45302,1,il y a un problème de taille
106856,1315,49891,3,Le produit n’est pas à la hauteur de mes attentes
106863,737,73294,2,il y a un problème de taille
106875,921,59559,2,il y a un problème de taille
106895,2047,93522,2,j ai finalement changé d’avis sur mes besoins
106895,543,93522,3,Le produit ne convient pas
106909,1703,47963,4,il y a un problème de taille
106910,1193,20082,1,Le produit ne convient pas
106917,570,27460,2,Le produit n’est pas à la hauteur de mes attentes
106929,1952,81839,1,produit abimé
106956,104,25390,2,Le produit n’est pas à la hauteur de mes attentes
106959,1362,80944,3,Le produit n’est pas à la hauteur de mes attentes
106962,1698,20687,2,j ai finalement changé d’avis sur mes besoins
106986,1736,76988,1,il y a un problème de taille
106986,1153,76988,3,la couleur du produit ne me plaît pas
106995,1828,15665,5,Le produit ne convient pas
107001,629,28988,4,Le produit n’est pas à la hauteur de mes attentes
107001,1864,28988,5,j ai finalement changé d’avis sur mes besoins
107006,1506,64689,1,produit abimé
107017,888,29103,1,produit abimé
107030,808,12217,3,j ai finalement changé d’avis sur mes besoins
107044,825,49174,1,il existe une différence entre la fiche produit et l’article livré
107055,639,33936,4,Le produit n’est pas à la hauteur de mes attentes
107056,1902,80381,3,Le produit ne convient pas
107081,1636,6802,1,produit abimé
107093,167,50891,1,Le produit ne convient pas
107102,1189,55102,1,produit abimé
107153,1235,69298,2,Le produit n’est pas à la hauteur de mes attentes
107163,37,61678,1,la couleur du produit ne me plaît pas
107182,623,88202,2,il y a un problème de taille
107183,1061,52658,1,Le produit n’est pas à la hauteur de mes attentes
107191,645,39688,3,j ai finalement changé d’avis sur mes besoins
107193,2040,70687,1,il existe une différence entre la fiche produit et l’article livré
107212,505,38543,2,j ai finalement changé d’avis sur mes besoins
107219,1893,76018,2,j ai finalement changé d’avis sur mes besoins
107226,1368,32236,5,Le produit n’est pas à la hauteur de mes attentes
107231,1964,60938,5,la couleur du produit ne me plaît pas
107252,1606,47410,1,produit abimé
107284,2190,25350,3,la couleur du produit ne me plaît pas
107290,87,73721,3,j ai finalement changé d’avis sur mes besoins
107294,2037,6508,5,j ai finalement changé d’avis sur mes besoins
