id_panier,id_produit,quantité
1982,1859,2
2015,7,3
2020,2161,2
2024,952,3
2030,2064,1
2035,1231,2
2056,1225,3
2059,80,3
2060,1170,1
2074,695,3
2101,819,2
2106,782,2
2125,2047,1
2147,1333,3
2187,961,3
2212,388,2
2216,2058,1
2233,1275,1
2265,1586,2
2274,282,3
2280,1402,2
2326,1414,2
2333,1597,1
2345,786,3
2362,817,1
2384,598,2
2388,1378,3
2399,1480,3
2401,284,1
2402,1932,3
2407,2177,3
2420,2022,3
2460,1728,3
2494,917,1
2497,1567,1
2498,543,1
2502,1470,1
2518,905,1
2519,654,2
2535,1762,1
2554,1447,3
2567,480,1
2580,869,2
2607,492,3
2610,613,3
2640,607,3
2650,987,2
2664,924,3
2668,1645,3
2674,554,1
2675,2151,1
2678,1069,1
2679,1867,1
2700,1041,2
2718,1407,3
2724,1914,2
2725,304,2
2726,1733,2
2742,613,3
2752,1445,2
2773,818,3
2789,1755,2
2798,138,3
2802,1881,2
2816,1976,1
2817,879,1
2823,949,2
2848,1827,2
2870,186,2
2876,1320,1
2891,194,3
2898,1244,3
2908,1285,1
2911,395,3
2920,974,1
2926,236,2
2947,1231,3
2961,37,1
2970,998,1
2986,892,2
3023,1771,3
3051,1939,1
3074,1021,3
3078,215,3
3079,28,3
3098,884,1
3100,1567,3
3111,14,2
3115,713,2
3120,23,3
3122,315,1
3123,650,3
3133,679,2
3152,104,3
3154,1353,3
3165,3,2
3181,502,2
3187,676,2
3199,477,3
3200,1629,1
3216,698,3
3229,1219,1
3245,1011,1
3268,1196,3
3272,406,1
3281,1856,3
3290,963,2
3296,224,3
3304,1760,3
3322,395,3
3325,1433,3
3342,1910,1
3360,414,3
3380,1224,3
3393,1778,1
3405,334,2
3419,1434,1
3420,1702,1
3423,858,1
3424,240,2
3430,955,1
3433,565,3
3435,1927,2
3442,1400,2
3454,981,3
3479,1149,1
3480,1981,2
3506,692,1
3508,1631,1
3510,208,2
3539,866,1
3544,229,2
3546,1734,3
3548,780,2
3552,1238,2
3562,494,3
3566,621,3
3586,1758,2
3587,614,1
3594,1891,3
3598,138,2
3608,851,1
3610,735,3
3612,1958,2
3620,59,2
3637,1781,3
3645,1281,1
3653,1860,1
3664,175,2
3668,1122,1
3686,243,1
3703,611,2
3716,659,2
3717,587,1
3721,1683,3
3727,85,2
3735,437,2
3736,1075,3
3743,143,2
3804,1625,3
3824,452,2
3827,556,3
3838,322,2
3846,703,2
3864,666,3
3866,491,2
3914,787,3
3918,1210,1
3930,140,2
3950,1507,2
3954,485,3
3955,69,1
3966,862,2
3972,1240,2
3982,743,3
4009,1430,1
4039,998,2
4055,1298,2
4073,2061,2
4076,952,1
4150,2143,3
4153,1944,2
4164,894,1
4170,303,1
4189,1006,3
4193,1332,2
4196,1343,2
4198,1747,2
4212,1293,1
4225,401,3
4236,657,1
4282,1265,2
4294,1243,2
4296,1014,1
4297,612,1
4305,1639,3
4306,745,2
4333,1024,2
4346,361,3
4349,1634,2
4361,341,2
4372,874,2
4379,1936,1
4399,1744,1
4400,1768,3
4405,1844,1
4406,1569,3
4439,279,3
4447,972,3
4453,921,3
4459,861,3
4475,979,3
4477,1122,2
4503,1318,1
4514,1215,3
4518,1348,1
4538,2038,2
4541,666,3
4553,1469,2
4556,1299,1
4564,59,2
4582,1045,3
4591,369,2
4601,1678,2
4602,2133,1
4604,1769,1
4606,1076,2
4612,1299,1
4618,962,1
4628,590,3
4653,975,1
4658,1598,1
4712,1155,2
4749,977,2
4762,1751,1
4769,127,3
4783,855,2
4785,739,2
4791,669,3
4800,1928,3
4821,1425,1
4852,413,1
4853,1325,3
4899,214,2
4907,12,3
4909,2037,3
4910,1093,2
4912,1939,3
4920,1495,1
4921,1932,2
4924,1875,1
4934,586,1
4935,2082,1
4936,1376,3
4949,299,3
4960,964,1
4977,636,3
5019,1261,2
5021,263,1
5032,798,3
5034,1438,3
5037,961,2
5056,2177,3
5092,1003,3
5097,169,3
5109,597,2
5114,526,3
5126,988,1
5133,1164,3
5157,1435,1
5180,1592,3
5210,1735,2
5222,2143,2
5229,237,3
5237,952,2
5273,1227,2
5275,1561,1
5286,1564,2
5295,1951,1
5301,353,3
5341,2033,3
5342,2059,2
5353,1815,1
5366,1166,3
5375,1051,1
5389,1776,3
5393,286,2
5397,431,3
5404,1260,1
5408,1651,1
5423,131,3
5425,1547,2
5435,1414,1
5450,1591,1
5459,1296,1
5473,1715,2
5484,1381,1
5493,1592,1
5495,1506,1
5513,1695,1
5550,1168,3
5577,229,2
5579,1808,1
5586,1427,2
5609,1828,1
5623,2194,1
5624,2191,3
5632,1718,1
5636,2190,3
5659,1318,3
5666,1216,1
5680,708,2
5697,1041,1
5704,1282,2
5709,1816,3
5716,1634,3
5725,1324,1
5726,1398,2
5730,2018,2
5764,629,1
5826,554,1
5837,2099,3
5852,91,2
5863,318,1
5896,1396,2
5917,964,2
5919,435,1
5924,151,1
5947,1277,2
5962,1697,3
5979,1774,2
5982,1293,1
5988,759,1
5994,2026,1
6002,545,1
6027,1876,1
6034,431,3
6046,1528,3
6050,624,3
6051,2032,3
6052,2198,2
6060,733,1
6067,508,1
6069,389,3
6074,463,3
6076,1006,2
6082,1246,3
6103,303,1
6104,409,1
6107,327,3
6129,411,1
6145,1514,1
6148,420,1
6151,2178,1
6156,88,1
6157,1987,1
6164,666,3
6168,712,3
6176,325,1
6177,1561,2
6219,783,3
6243,313,1
6244,80,3
6248,498,2
6293,817,1
6303,443,2
6314,1265,1
6333,495,3
6339,1400,2
6343,1902,3
6349,353,1
6353,1164,1
6357,1667,1
6377,1847,2
6386,222,1
6398,1108,2
6399,420,2
6403,35,1
6411,2185,3
6423,1214,2
6426,1593,2
6431,306,2
6440,1405,3
6449,1020,3
6450,1727,1
6453,1573,2
6458,1591,1
6468,281,2
6481,170,1
6484,311,1
6509,927,3
6511,476,2
6526,615,2
6553,361,2
6567,1844,1
6568,428,2
6589,1506,2
6604,1639,1
6637,1645,1
6646,2085,2
6653,959,1
6654,474,1
6657,690,2
6664,663,2
6671,1152,2
6674,330,2
6697,1546,3
6705,2,2
6713,1054,1
6722,690,3
6724,417,2
6729,1833,1
6749,3,1
6791,65,2
6801,337,1
6802,239,3
6808,845,3
6819,1043,1
6840,2185,3
6859,971,1
6869,498,3
6893,1192,3
6905,1953,3
6916,2103,2
6927,1633,2
6931,661,2
6939,491,3
6940,177,1
6959,108,1
6967,1882,1
6977,33,1
7015,1924,2
7019,1447,3
7024,2056,3
7032,2026,2
7033,1159,3
7034,12,2
7049,1310,1
7068,727,3
7070,609,1
7097,1340,2
7107,892,3
7110,226,3
7144,1719,3
7145,1507,1
7161,250,3
7172,976,1
7183,2057,3
7190,1582,1
7194,2139,2
7197,1440,1
7207,2166,2
7209,627,2
7216,454,2
7223,304,2
7224,2106,3
7227,1315,2
7237,52,1
7244,1366,2
7264,184,1
7275,428,3
7291,2074,3
7309,1514,2
7316,771,3
7324,1617,1
7329,392,1
7339,635,2
7345,2148,1
7349,2112,2
7367,419,3
7413,1113,1
7425,1991,1
7429,504,3
7446,1004,1
7447,347,1
7462,809,3
7468,439,1
7494,1027,1
7500,83,2
7503,771,1
7506,1183,1
7520,1871,1
7535,751,1
7537,2155,1
7540,1918,3
7591,1953,3
7599,2083,3
7609,352,1
7619,1196,1
7627,173,3
7640,1828,3
7641,641,2
7661,208,3
7668,1392,3
7672,1084,1
7681,53,2
7689,1362,2
7693,1848,2
7699,1412,3
7709,1713,2
7710,1003,3
7750,710,2
7753,164,2
7755,344,1
7756,1028,1
7758,745,1
7762,1988,3
7770,534,3
7789,784,3
7804,439,1
7821,581,2
7837,1242,1
7848,930,2
7849,1956,1
7859,572,1
7860,308,2
7863,8,1
7869,1732,3
7880,1945,3
7925,1165,3
7934,1575,3
7940,16,2
7977,1071,2
8022,511,3
8037,1311,3
8049,890,2
8057,1573,2
8073,226,1
8078,1487,2
8081,1600,1
8091,1694,2
8094,970,2
8097,1147,3
8144,1332,3
8148,20,2
8159,375,3
8167,336,2
8169,1797,2
8171,1325,2
8178,1554,2
8184,1589,1
8190,501,3
8197,471,2
8235,348,3
8240,1005,3
8279,1168,3
8291,1242,1
8294,1909,3
8304,1393,1
8312,699,1
8315,1036,1
8331,2038,2
8333,2160,3
8339,1617,3
8352,521,2
8353,815,1
8361,463,1
8379,679,2
8383,980,2
8390,626,1
8421,559,1
8422,1431,2
8426,1890,3
8432,1853,2
8441,1826,3
8447,1259,1
8477,925,1
8493,1401,3
8527,630,2
8542,108,3
8548,129,2
8567,1680,2
8581,413,3
8595,937,2
8602,781,3
8603,950,1
8610,1117,1
8627,1745,3
8635,2082,2
8669,1871,1
8678,458,2
8683,1352,2
8685,846,3
8687,158,2
8694,2024,3
8736,2049,1
8743,6,3
8744,220,1
8749,669,3
8768,1251,3
8776,781,2
8778,715,3
8801,592,2
8814,1379,1
8821,1394,2
8832,69,3
8848,955,1
8858,730,1
8869,2046,3
8894,1401,1
8897,1552,3
8899,511,2
8912,676,2
8915,534,3
8928,220,1
8930,280,1
8961,1356,2
8972,1401,1
8973,2189,2
8994,594,3
9003,157,3
9007,368,3
9041,3,2
9051,2111,2
9062,2139,3
9066,261,3
9081,723,2
9092,573,1
9109,610,1
9110,1536,1
9115,1341,2
9119,1858,1
9136,984,2
9139,713,3
9152,1003,3
9157,349,2
9168,604,3
9179,521,1
9181,729,1
9191,172,3
9194,1559,3
9200,1049,1
9206,2089,1
9211,591,2
9214,905,1
9247,688,1
9249,953,2
9256,121,3
9260,2005,3
9270,887,1
9274,2061,2
9276,254,3
9277,1361,2
9297,1743,1
9300,673,2
9304,578,2
9317,56,1
9326,1693,1
9332,974,2
9340,1936,3
9343,1639,2
9346,679,2
9355,143,2
9359,1607,2
9363,480,2
9399,337,1
9402,800,1
9418,670,1
9421,402,1
9443,844,1
9453,1534,2
9464,1434,2
9467,256,1
9479,295,1
9503,1618,1
9535,475,1
9537,980,1
9551,1734,3
9567,1047,3
9569,499,2
9576,986,1
9580,343,1
9581,421,2
9597,576,2
9602,2032,3
9604,2118,3
9612,1481,1
9618,2112,1
9630,1875,1
9631,2150,2
9678,1292,2
9679,1141,2
9696,985,3
9697,2009,3
9701,591,2
9707,599,1
9720,339,2
9732,1648,3
9742,1348,3
9743,1996,3
9766,2102,2
9775,1935,3
9776,674,2
9778,741,3
9789,1443,2
9797,1953,3
9808,1342,3
9833,93,2
9849,1369,2
9855,594,2
9856,1724,1
9872,66,2
9882,1861,2
9883,1475,2
9898,192,3
9911,1707,3
9947,1096,3
9950,245,3
9986,607,1
9987,1063,1
9992,561,2
9998,451,2
10010,1445,3
10014,134,3
10031,1429,3
10032,931,2
10033,1733,1
10044,2147,2
10050,1517,1
10063,1816,2
10072,770,3
10073,1627,3
10075,686,3
10077,1215,2
10121,1485,2
10123,1420,1
10132,95,2
10144,2181,3
10145,1554,2
10158,572,1
10168,768,2
10177,1734,1
10179,1355,1
10198,1857,1
10200,1090,2
10211,913,3
10242,991,2
10262,1629,3
10284,21,3
10311,1094,3
10312,252,3
10317,1877,3
10326,1179,2
10328,1057,2
10369,2151,1
10389,1736,1
10396,1924,2
10403,1721,3
10406,2145,1
10412,659,2
10420,1671,2
10455,1363,3
10463,1806,2
10473,865,3
10482,555,3
10493,2112,2
10538,926,1
10549,467,1
10552,292,2
10567,2076,3
10568,64,2
10574,2037,3
10579,986,1
10606,1143,2
10608,2120,2
10619,570,3
10640,1749,3
10678,814,2
10731,1825,2
10734,164,1
10743,1836,3
10751,1012,2
10758,128,2
10759,473,2
10769,468,3
10776,137,2
10782,1535,1
10787,428,1
10792,1047,3
10807,1632,2
10813,1967,1
10828,1722,1
10840,275,3
10863,401,1
10865,893,2
10868,831,2
10870,295,1
10896,2188,1
10898,1429,1
10907,1965,1
10913,568,2
10914,885,1
10915,35,3
10924,978,1
10925,551,1
10927,1210,2
10946,623,3
10964,980,1
10981,676,3
11003,1279,2
11010,443,3
11012,768,2
11013,343,3
11018,1382,3
11020,1597,3
11029,994,3
11037,1784,3
11040,2185,1
11054,1969,2
11069,859,2
11070,1225,2
11078,25,2
11089,1589,1
11102,391,1
11109,2036,2
11119,1017,2
11175,1777,2
11176,764,2
11183,1848,3
11194,1724,2
11198,389,2
11213,624,2
11248,935,2
11254,1519,1
11263,1227,3
11272,1974,2
11273,1185,3
11276,286,1
11294,1285,1
11309,521,1
11313,2002,3
11330,1906,2
11333,1636,2
11345,12,3
11360,1425,2
11363,2101,1
11368,198,3
11370,2124,1
11379,260,1
11389,384,2
11394,952,1
11395,1714,2
11398,1416,2
11432,1033,3
11450,543,3
11457,1444,1
11465,2103,2
11471,311,2
11472,1755,1
11474,1938,2
11508,1510,1
11516,2009,2
11519,769,2
11521,1427,3
11522,1983,3
11528,1058,3
11547,1584,1
11562,851,3
11574,1465,2
11583,1929,3
11584,1463,2
11585,1342,1
11596,1096,1
11599,2089,2
11604,1341,2
11612,1988,1
11624,1236,1
11644,2022,2
11650,318,2
11651,778,2
11661,77,2
11663,277,2
11677,1544,3
11679,1698,2
11731,665,3
11748,373,2
11757,81,1
11762,712,3
11786,1337,3
11817,310,2
11828,1307,2
11844,1288,1
11880,1130,3
11888,1336,1
11927,780,1
11937,1812,2
11950,1689,3
11967,82,2
11969,1503,2
11973,1085,3
11975,1667,1
11989,1088,2
12020,2116,1
12023,203,1
12054,275,3
12067,194,2
12077,1957,2
12084,1015,1
12104,1540,1
12126,1857,1
12154,1973,2
12172,925,3
12174,1869,1
12177,1499,2
12182,616,1
12186,1161,1
12192,201,3
12194,1554,1
12201,1160,2
12211,1685,1
12215,1035,2
12221,1296,3
12226,1014,3
12243,1905,1
12244,1928,3
12248,1855,1
12254,1118,3
12287,2027,1
12327,706,1
12337,679,2
12339,863,3
12350,280,1
12355,370,2
12359,818,2
12366,1010,3
12377,323,3
12400,1281,3
12411,122,3
12417,1184,3
12422,670,3
12423,1279,1
12427,634,3
12442,241,2
12455,407,3
12458,1192,3
12465,259,2
12476,187,2
12488,1497,3
12496,1731,1
12498,498,2
12504,746,3
12511,672,3
12523,612,2
12528,1802,1
12529,1454,2
12537,27,2
12555,2043,3
12569,1057,2
12581,453,2
12610,270,1
12611,1053,1
12615,1540,3
12625,1945,1
12643,1862,2
12646,1918,3
12650,1429,2
12653,1177,3
12657,884,1
12661,842,1
12694,927,3
12715,585,2
12737,1902,3
12765,262,1
12789,23,2
12805,1208,2
12808,478,2
12832,171,3
12840,1129,2
12850,659,3
12855,1502,3
12868,1257,3
12870,416,1
12875,74,1
12876,1708,1
12884,1340,2
12886,1817,2
12887,2154,3
12890,920,2
12906,121,2
12927,259,3
12929,2147,1
12930,1112,1
12953,2079,1
12985,817,2
12996,401,1
13003,327,1
13005,773,2
13008,1484,2
13025,1480,1
13090,1874,1
13091,148,2
13101,609,1
13111,2088,1
13131,1987,1
13132,1092,2
13136,2108,2
13138,1361,2
13141,463,3
13149,407,2
13166,1906,1
13171,240,3
13178,326,1
13182,2067,1
13212,1741,2
13216,2179,2
13226,26,3
13228,333,2
13232,108,1
13258,1690,1
13290,1210,2
13291,1968,2
13297,1102,2
13309,1113,1
13322,235,2
13354,1075,2
13356,120,3
13362,281,3
13371,1627,3
13378,121,2
13379,1027,2
13387,888,3
13388,1201,3
13395,2035,2
13443,1932,1
13461,1119,3
13481,858,2
13495,513,3
13499,2169,1
13515,1692,3
13521,1712,1
13526,782,3
13544,643,2
13554,159,2
13568,1784,1
13572,1634,1
13608,2037,3
13658,1662,1
13661,618,1
13669,902,2
13683,346,3
13703,1067,1
13707,885,3
13708,181,1
13715,16,3
13733,1882,2
13741,1012,2
13766,1660,1
13783,1545,2
13797,1128,1
13808,160,2
13828,220,1
13835,1916,3
13839,1879,1
13853,833,1
13867,482,2
13873,1638,3
13878,899,2
13913,1035,3
13928,973,2
13939,1615,1
13954,833,1
13976,1319,1
13981,2018,2
13985,2124,1
13995,319,2
13996,140,3
14002,839,1
14004,688,3
14012,1014,2
14021,1551,3
14024,386,2
14030,1491,3
14031,1317,2
14039,617,3
14042,84,3
14050,1617,1
14056,1663,2
14083,1877,3
14087,928,1
14091,1545,2
14106,2037,3
14117,649,3
14127,2177,2
14133,1951,2
14140,254,2
14143,1321,3
14144,2158,1
14167,807,1
14174,223,3
14184,613,1
14186,274,2
14187,143,2
14202,1156,2
14211,399,1
14215,1914,2
14232,1283,1
14234,1515,3
14243,364,3
14246,766,1
14254,2058,3
14257,1880,2
14260,959,3
14265,1156,3
14272,1025,1
14277,1658,2
14281,478,1
14289,2023,3
14292,420,2
14298,1132,2
14312,1962,2
14323,1622,1
14342,869,1
14350,872,1
14362,240,1
14384,1690,3
14409,2012,1
14427,177,3
14444,1015,2
14451,1106,2
14465,54,1
14467,530,3
14473,1826,1
14481,1166,3
14506,2059,1
14509,759,1
14510,539,2
14514,1409,3
14522,1193,2
14533,419,3
14557,1749,2
14576,613,1
14577,1928,3
14584,620,2
14589,1450,2
14592,1074,3
14606,1341,3
14655,1764,3
14661,762,1
14663,1847,2
14684,1695,3
14685,842,2
14690,1032,3
14691,714,2
14716,1893,3
14750,1936,1
14783,1160,3
14784,777,1
14786,435,3
14790,287,2
14821,817,2
14825,1003,3
14827,263,1
14857,1113,1
14865,1251,3
14866,760,2
14868,1856,2
14898,1558,2
14912,1325,3
14913,1963,1
14917,1160,2
14921,415,1
14925,1319,2
14930,1921,3
14935,746,2
14969,812,2
14973,1826,1
14986,1734,3
14995,1835,1
15005,1607,2
15023,954,2
15037,213,3
15044,1971,1
15046,1766,1
15064,1745,3
15077,789,2
15086,1322,1
15108,1893,2
15146,1688,1
15148,375,2
15174,330,3
15186,925,3
15212,401,2
15216,1825,3
15224,1123,1
15236,1394,2
15242,1671,1
15246,27,3
15247,1639,3
15252,1335,2
15260,318,1
15266,1868,2
15267,1332,1
15282,937,3
15300,1564,1
15308,26,2
15311,498,3
15317,1579,2
15325,1290,2
15327,1199,3
15357,663,1
15358,2007,3
15362,1703,3
15374,1992,1
15396,1493,2
15406,1923,3
15411,1440,2
15414,1928,1
15456,1546,1
15481,1990,2
15493,2128,3
15520,2035,2
15521,516,1
15538,401,2
15554,1786,1
15579,1678,2
15592,1184,3
15615,431,3
15641,1024,1
15653,1643,1
15654,1033,2
15656,1596,2
15663,1505,1
15668,1807,1
15669,1395,1
15676,2180,1
15678,1774,1
15682,2073,1
15687,279,3
15691,1473,1
15714,2016,1
15724,577,3
15749,649,1
15752,598,2
15775,48,2
15788,829,1
15801,1212,3
15804,780,2
15820,2038,2
15830,1388,1
15831,864,2
15833,1910,3
15852,51,2
15861,1698,2
15862,1751,1
15865,1868,1
15866,1212,3
15871,1416,3
15880,301,2
15881,768,2
15890,2091,1
15894,407,3
15901,669,1
15911,1369,3
15919,1205,3
15925,1877,1
15938,354,1
15952,1413,1
15958,2185,2
15977,793,3
16015,200,2
16029,105,3
16030,25,2
16061,1651,3
16080,1777,3
16085,2065,1
16101,2022,3
16139,186,2
16143,1261,1
16154,711,2
16168,2024,1
16192,303,1
16214,2142,3
16222,1896,3
16232,569,1
16251,392,1
16254,77,3
16257,1575,3
16275,1743,1
16293,264,1
16323,1393,3
16325,366,1
16327,426,3
16341,2014,3
16345,2012,3
16348,1031,2
16351,1627,3
16359,1122,2
16360,390,1
16369,1639,3
16374,2019,3
16416,250,2
16417,1851,2
16425,18,2
16435,1562,2
16442,1256,3
16452,31,2
16457,1145,2
16460,933,3
16476,1279,3
16499,1422,1
16514,213,3
16526,1195,3
16531,937,3
16541,1026,2
16581,102,3
16584,1361,2
16601,669,1
16604,305,1
16618,1865,1
16626,1303,2
16633,1900,2
16634,1512,1
16650,2148,2
16661,2063,2
16665,2114,1
16670,1731,2
16673,526,2
16690,807,3
16699,1071,3
16707,845,1
16728,895,1
16746,326,2
16771,686,2
16774,595,3
16826,1347,1
16836,603,2
16848,17,2
16852,1491,1
16857,1485,2
16878,1857,1
16879,1879,3
16881,1571,2
16905,2006,2
16928,183,1
16951,1152,2
16953,1131,2
16957,2095,1
16959,1939,3
16966,134,3
16970,1996,2
16974,164,1
16996,431,1
17010,2061,3
17040,198,2
17042,544,1
17046,654,3
17051,526,2
17057,1129,2
17067,530,1
17072,637,2
17079,1836,1
17080,1797,2
17084,372,2
17086,324,2
17102,1860,1
17133,1217,1
17136,961,2
17168,1568,3
17199,743,2
17227,2116,2
17256,843,1
17262,2192,1
17274,1967,2
17300,563,1
17310,229,2
17327,2087,1
17358,2057,2
17374,833,1
17384,10,1
17422,778,2
17435,532,3
17466,12,3
17530,1034,3
17540,869,2
17545,1663,3
17556,590,1
17573,2022,3
17599,1110,2
17621,2038,1
17629,2087,1
17645,2137,3
17666,1721,1
17673,2016,3
17676,1443,3
17684,2033,2
17697,681,1
17698,922,2
17701,862,2
17702,1961,2
17751,1129,3
17768,500,2
17774,1142,3
17789,1177,2
17803,2006,1
17813,155,2
17815,438,3
17820,1527,3
17821,127,2
17832,421,3
17834,1985,3
17851,1800,1
17859,847,3
17860,2152,1
17866,206,1
17869,2117,3
17873,265,3
17889,991,1
17894,1683,1
17920,1592,3
17929,1077,3
17940,1793,3
17949,462,2
17955,1065,3
17958,2059,3
17984,509,1
18003,1591,1
18005,862,1
18044,1296,1
18049,2195,1
18050,2181,3
18060,1905,1
18063,2078,1
18084,2186,1
18102,124,1
18111,2083,3
18139,186,3
18140,1219,3
18144,333,1
18155,923,2
18177,1831,1
18181,209,2
18187,1414,2
18195,1378,2
18217,1749,1
18221,1073,3
18223,1208,2
18224,1895,3
18227,1836,1
18254,1249,2
18255,818,1
18262,1755,3
18273,448,3
18283,1350,3
18287,13,3
18291,198,1
18301,586,2
18312,1703,1
18351,6,3
18362,2118,3
18399,1002,3
18415,2097,3
18416,52,2
18419,1413,3
18421,1047,3
18428,1723,2
18431,1675,3
18433,1278,1
18457,459,2
18465,1381,2
18485,2142,2
18486,1971,3
18488,161,1
18494,1681,3
18503,950,2
18514,223,3
18538,870,1
18539,1273,3
18541,562,1
18547,854,1
18548,1827,1
18558,1715,2
18570,2078,3
18585,803,3
18593,160,1
18602,773,1
18616,762,2
18632,1850,3
18640,1025,1
18642,1323,3
18655,1691,2
18658,1925,3
18659,858,2
18666,2163,1
18670,1106,1
18680,1453,1
18691,2087,3
18711,856,2
18718,496,2
18736,1558,1
18743,2142,3
18760,1443,2
18776,1069,1
18779,1310,3
18825,1992,2
18834,2135,3
18853,539,2
18869,1231,2
18870,746,2
18871,1582,2
18872,1683,1
18878,1550,2
18881,260,2
18888,444,1
18907,1074,1
18911,1031,3
18919,399,2
18926,1877,3
18928,1437,1
18933,1382,3
18939,1791,2
18958,591,2
18959,184,1
18967,447,1
18972,40,2
19015,1981,1
19045,1215,1
19071,347,1
19077,1067,2
19093,1377,1
19098,247,3
19101,1881,1
19103,952,1
19118,2104,1
19120,1244,2
19122,575,1
19129,1317,1
19145,1898,1
19153,2125,1
19174,1609,1
19175,26,2
19178,365,2
19229,1117,3
19244,64,2
19255,276,1
19271,192,2
19278,98,2
19307,1848,2
19322,912,1
19324,1484,3
19330,63,2
19339,1976,3
19347,167,2
19352,961,1
19362,320,2
19395,120,1
19424,230,3
19432,1777,2
19442,1557,1
19454,435,1
19456,892,2
19457,1185,1
19472,918,2
19491,1426,3
19517,2198,2
19521,1033,1
19522,352,1
19523,1187,3
19537,329,2
19592,1580,1
19594,696,1
19611,407,3
19631,1147,3
19635,1911,1
19636,758,1
19662,425,1
19686,238,1
19689,967,2
19702,1579,1
19732,1141,3
19734,899,1
19738,988,3
19746,1200,3
19751,2031,1
19753,1973,2
19761,827,1
19767,719,2
19769,909,2
19798,739,2
19802,85,3
19811,1173,2
19812,396,1
19839,983,1
19850,170,3
19851,549,2
19884,513,3
19885,641,3
19934,1214,1
19956,672,1
19984,1334,1
19989,505,3
19995,762,2
20004,2061,3
20009,925,3
20018,710,2
20032,671,2
20034,454,3
20072,815,2
20084,1144,1
20097,36,1
20098,670,1
20104,1726,2
20112,1032,2
20120,562,3
20146,1231,3
20158,61,2
20169,1560,3
20179,969,2
20182,113,2
20198,2095,1
20218,475,3
20219,438,1
20222,1937,2
20231,1857,2
20235,1719,3
20239,1310,2
20243,349,2
20245,252,1
20253,946,3
20274,2179,3
20300,2137,1
20301,896,2
20319,1389,3
20342,2142,1
20344,63,2
20368,1792,3
20379,184,1
20383,845,1
20385,88,1
20396,2104,1
20401,104,3
20408,654,3
20410,972,1
20412,1995,1
20416,967,1
20433,2072,1
20436,239,1
20462,1746,2
20476,1255,3
20503,1095,3
20504,1316,3
20505,819,1
20520,1294,1
20546,914,3
20547,2156,3
20573,415,2
20575,189,1
20584,189,3
20597,1068,1
20601,1872,3
20605,1909,1
20609,369,2
20613,1125,1
20639,1085,3
20655,135,1
20663,143,1
20669,86,3
20678,2124,3
20736,2155,3
20742,1747,1
20761,1845,1
20771,1521,2
20790,2039,2
20805,1338,3
20810,1561,2
20812,1699,1
20814,1085,2
20817,1158,2
20821,617,3
20832,1729,1
20845,1140,3
20847,447,1
20849,1781,1
20854,53,1
20861,13,1
20866,667,2
20873,1213,1
20875,1231,2
20888,1919,1
20901,1253,2
20910,1837,1
20950,577,1
20952,1748,1
20982,1292,3
20997,1171,3
21034,2079,3
21043,544,1
21044,1596,2
21053,1606,1
21067,325,3
21089,701,3
