id_produit,date,prix
76,2021-2-23,59
76,2021-6-16,54
76,2020-9-7,58
77,2020-10-15,41
77,2021-3-3,45
77,2020-5-18,28
77,2021-10-15,36
78,2021-12-1,230
78,2021-3-15,215
78,2021-7-15,218
79,2020-4-10,249
79,2021-9-5,248
80,2020-9-13,74
80,2020-5-18,73
80,2021-1-4,71
81,2020-5-18,110
81,2020-12-16,123
82,2020-12-16,93
82,2020-9-17,90
83,2020-3-17,84
83,2021-4-10,97
84,2020-6-17,165
84,2020-2-7,167
84,2020-5-28,174
84,2021-12-21,174
85,2020-1-21,254
85,2020-12-18,242
86,2020-2-23,90
86,2020-9-28,75
86,2021-11-7,76
87,2021-1-12,243
87,2021-1-13,239
87,2021-10-24,249
88,2020-5-26,128
88,2020-7-23,128
88,2020-8-19,110
89,2021-2-9,14
89,2021-11-12,20
89,2021-9-20,20
89,2021-4-13,19
90,2021-5-15,119
90,2020-6-24,118
91,2020-9-28,169
91,2020-11-1,176
91,2021-1-6,161
92,2021-1-4,62
92,2020-8-28,51
92,2021-3-28,60
92,2021-2-12,59
93,2021-2-17,122
93,2020-9-22,121
94,2020-12-11,194
94,2021-3-23,212
94,2020-5-1,212
94,2021-11-4,193
95,2021-9-23,46
95,2020-2-13,43
95,2020-5-22,45
96,2021-6-17,85
96,2021-1-11,85
96,2020-4-24,71
97,2021-8-16,57
97,2020-8-16,59
97,2021-9-8,49
97,2021-8-10,55
98,2020-7-13,187
98,2021-1-20,173
98,2021-2-24,171
99,2021-3-2,230
99,2020-1-15,230
99,2020-12-14,234
100,2020-5-17,31
100,2021-3-2,35
100,2021-10-25,27
100,2021-12-16,40
101,2020-11-9,28
101,2020-2-5,27
101,2021-6-10,35
102,2021-9-12,264
102,2020-9-17,266
103,2021-6-19,64
103,2021-4-19,77
103,2020-7-25,76
104,2021-12-13,122
104,2020-1-1,119
104,2021-6-21,126
104,2020-8-2,119
105,2021-10-5,43
105,2020-8-10,41
105,2021-9-5,36
105,2020-3-24,44
106,2021-2-12,16
106,2020-5-13,30
106,2020-7-16,20
107,2020-3-18,60
107,2020-7-10,68
107,2020-2-22,70
108,2020-4-14,40
108,2020-7-20,30
108,2021-5-24,40
109,2021-10-21,65
109,2021-3-2,59
109,2020-1-16,66
109,2020-4-26,53
110,2020-8-4,119
110,2021-6-28,108
110,2020-12-26,114
110,2020-11-5,110
111,2021-10-21,192
111,2021-4-15,193
111,2021-5-10,192
111,2021-6-20,194
112,2021-3-1,46
112,2021-3-11,37
112,2020-10-20,53
113,2020-1-16,91
113,2021-11-9,90
113,2021-8-11,93
113,2021-10-23,88
114,2020-2-15,101
114,2020-12-21,91
114,2021-11-7,101
115,2020-12-22,222
115,2020-9-14,209
115,2021-3-28,220
115,2021-5-2,216
116,2020-4-17,242
116,2021-2-12,230
116,2020-6-3,240
116,2021-6-22,226
117,2020-10-16,111
117,2020-6-23,113
118,2021-1-21,219
118,2021-7-23,220
118,2021-2-21,207
119,2021-5-10,228
119,2021-8-22,222
119,2020-9-3,222
119,2020-7-1,220
120,2020-3-22,95
120,2021-1-23,92
120,2021-2-7,86
120,2020-2-14,92
121,2021-5-23,146
121,2021-9-24,147
121,2020-2-14,146
121,2021-5-3,152
122,2020-8-6,126
122,2021-5-19,130
122,2020-7-23,133
122,2020-5-14,141
123,2020-2-1,256
123,2020-7-19,248
124,2021-3-2,251
124,2020-10-13,250
125,2020-11-13,241
125,2020-5-28,241
125,2021-11-15,251
126,2020-4-9,79
126,2020-7-17,85
126,2021-11-10,72
127,2020-3-12,197
127,2020-12-6,200
128,2020-11-21,212
128,2020-12-2,205
128,2020-5-7,214
128,2021-12-5,203
129,2020-6-28,43
129,2020-10-22,44
129,2021-3-2,36
129,2021-6-27,49
130,2021-6-8,58
130,2020-6-8,62
130,2021-6-6,63
130,2021-4-27,60
131,2021-12-27,159
131,2020-12-7,171
131,2020-11-16,169
132,2021-1-10,215
132,2020-7-14,212
132,2021-8-19,222
133,2021-8-28,30
133,2020-9-21,23
134,2021-5-22,134
134,2021-7-5,127
134,2021-1-18,139
135,2021-12-11,90
135,2020-1-5,88
136,2020-11-22,110
136,2021-9-13,115
136,2020-8-20,127
136,2021-5-22,127
137,2021-12-16,194
137,2021-4-11,190
138,2020-7-21,169
138,2020-4-11,178
138,2021-10-4,176
138,2021-5-9,174
139,2021-11-14,148
139,2021-5-24,151
140,2020-10-17,242
140,2020-7-14,246
140,2020-4-13,243
141,2020-6-3,57
142,2020-8-6,63
142,2021-4-4,77
142,2021-4-10,63
142,2020-12-4,69
143,2021-4-3,58
143,2021-1-6,72
143,2021-6-8,71
143,2020-4-13,58
144,2020-11-13,112
144,2021-10-20,113
144,2021-7-21,112
144,2021-9-6,118
145,2021-5-1,239
145,2020-2-11,226
145,2021-7-1,242
145,2021-11-8,229
146,2021-4-21,239
146,2021-11-27,256
147,2020-8-2,119
147,2021-11-9,114
147,2020-7-23,116
148,2021-10-1,248
148,2020-8-23,247
148,2021-6-9,247
148,2020-3-6,250
149,2020-2-14,164
149,2021-6-15,168
149,2020-4-25,161
150,2021-4-20,73
150,2021-5-25,55
150,2021-2-4,69
150,2021-5-10,72
151,2021-4-7,52
151,2021-4-11,40
151,2021-11-10,58
151,2020-7-20,46
152,2020-2-5,193
152,2020-8-13,198
153,2020-5-4,228
153,2020-4-11,229
154,2020-12-12,139
154,2021-5-14,124
154,2021-7-11,139
154,2020-1-24,126
155,2020-3-10,204
155,2020-10-18,195
155,2021-12-28,210
156,2020-1-11,174
156,2021-3-10,157
156,2020-1-1,161
156,2021-10-26,170
157,2020-5-13,72
157,2020-4-17,89
157,2021-8-16,73
157,2021-6-7,71
158,2020-6-15,149
158,2020-11-15,149
158,2021-9-19,130
159,2021-6-14,244
159,2021-9-16,236
159,2020-7-17,240
159,2020-4-5,248
160,2021-6-5,170
160,2020-10-27,166
161,2020-6-2,71
161,2021-7-25,85
162,2021-11-16,231
162,2021-5-26,227
162,2021-4-6,231
163,2020-8-22,81
163,2020-8-12,92
163,2021-8-28,88
164,2020-6-19,145
164,2020-12-25,148
164,2021-3-18,142
164,2020-11-5,145
165,2020-11-12,103
165,2021-4-4,102
165,2020-5-11,95
166,2021-4-7,42
166,2021-11-20,28
167,2020-4-1,211
167,2020-1-13,204
167,2021-9-2,212
167,2021-2-28,213
168,2021-5-21,222
168,2020-1-6,232
168,2021-2-25,231
169,2020-12-5,106
169,2020-4-3,96
169,2020-1-9,98
170,2020-3-6,258
170,2020-3-22,263
170,2021-11-25,250
171,2021-2-26,192
171,2020-7-27,197
171,2020-5-10,182
172,2020-10-2,185
172,2020-8-17,170
173,2020-3-3,239
173,2021-7-19,239
173,2021-9-24,239
174,2021-4-3,170
174,2020-2-10,168
175,2020-8-7,69
175,2021-6-25,75
175,2020-3-21,82
175,2020-6-27,87
176,2021-8-4,25
176,2020-3-11,23
176,2021-7-15,40
177,2021-3-11,210
177,2020-10-8,213
177,2020-2-3,219
178,2020-4-24,89
178,2020-11-22,83
178,2020-3-10,81
178,2021-5-27,86
179,2021-4-7,34
179,2021-5-25,31
179,2021-8-10,38
179,2021-6-3,25
180,2020-5-28,123
180,2020-11-7,116
180,2020-10-18,106
180,2020-9-6,114
181,2021-10-13,126
181,2021-4-5,136
181,2020-9-22,126
181,2021-8-14,128
182,2020-1-23,130
182,2021-8-15,145
182,2021-9-9,132
183,2020-11-25,98
183,2021-3-13,94
183,2021-6-27,102
183,2020-3-5,102
184,2021-3-23,72
184,2020-2-15,63
184,2020-9-28,70
184,2021-3-21,63
185,2021-4-28,219
185,2021-3-15,222
186,2020-4-5,187
186,2020-9-13,183
186,2020-9-24,179
186,2020-11-15,187
187,2020-7-25,184
187,2020-2-15,185
187,2021-5-21,192
188,2020-1-21,44
188,2020-10-24,37
189,2021-8-8,231
189,2021-8-11,234
189,2021-12-19,245
189,2020-6-4,233
190,2021-12-23,215
190,2020-2-27,210
190,2020-7-2,201
190,2021-7-24,216
191,2021-1-4,180
191,2020-8-9,179
191,2021-11-14,186
192,2020-10-9,108
192,2021-11-14,92
192,2020-12-25,91
192,2020-2-5,101
193,2021-8-25,214
193,2021-6-28,211
194,2020-12-9,110
194,2021-11-19,115
194,2021-10-15,116
194,2020-4-25,121
195,2021-12-26,264
195,2021-3-21,253
195,2020-2-3,261
195,2021-2-4,258
196,2020-5-9,114
196,2021-1-23,106
196,2021-8-4,113
196,2021-12-14,112
197,2021-6-20,116
197,2020-7-4,117
198,2020-12-4,114
198,2021-7-26,122
198,2020-9-11,128
198,2020-1-1,117
199,2020-7-19,125
199,2020-10-16,126
200,2021-9-19,160
200,2020-7-16,159
201,2021-2-8,68
201,2020-8-27,66
202,2021-2-23,39
202,2020-10-11,22
203,2020-11-7,225
203,2020-11-14,223
204,2021-2-12,58
204,2020-4-27,74
205,2020-10-27,104
205,2021-7-7,120
205,2021-12-4,114
206,2021-7-25,75
206,2021-4-1,73
207,2020-5-25,129
207,2020-5-7,116
207,2020-9-24,122
208,2021-3-8,110
208,2021-12-4,111
208,2021-9-22,112
208,2020-12-2,114
209,2020-5-26,49
209,2020-9-28,43
209,2021-11-9,51
209,2021-7-17,51
210,2021-6-4,247
210,2021-4-1,241
211,2020-5-24,236
211,2020-1-11,236
211,2021-11-20,234
212,2021-4-18,188
212,2020-3-25,171
213,2021-7-7,155
213,2020-10-22,151
213,2021-9-26,159
214,2021-4-11,126
214,2021-2-26,121
215,2020-9-22,205
215,2021-5-6,191
215,2021-8-15,197
215,2021-9-16,197
216,2021-10-16,44
216,2021-11-15,35
217,2021-5-9,41
217,2020-1-7,40
218,2021-4-7,131
218,2020-11-14,129
219,2021-2-26,109
219,2020-6-10,115
219,2020-6-4,114
220,2020-2-26,27
220,2021-1-28,39
220,2021-4-21,41
220,2020-10-3,29
221,2020-5-16,251
221,2020-11-20,260
221,2020-2-7,264
221,2020-9-26,252
222,2021-11-25,94
222,2021-10-15,102
223,2021-11-18,150
223,2020-4-23,147
223,2020-1-3,154
223,2020-5-3,147
224,2021-5-24,24
224,2021-3-14,27
224,2021-2-6,19
225,2020-9-23,219
225,2020-9-6,217
225,2020-8-13,225
226,2021-1-10,85
226,2021-3-21,84
226,2020-2-22,87
226,2021-12-28,82
227,2020-4-4,136
227,2020-11-9,135
228,2020-2-15,254
228,2021-11-8,256
229,2020-7-22,259
229,2020-4-23,254
229,2021-5-6,247
229,2020-4-21,262
230,2021-10-7,153
230,2021-12-17,153
230,2021-8-6,155
230,2020-3-9,150
231,2021-5-5,263
231,2021-1-17,254
231,2021-1-25,264
232,2021-4-5,114
232,2020-12-22,127
232,2021-8-12,120
233,2020-6-11,129
233,2021-4-28,130
233,2020-12-20,118
233,2020-7-26,121
234,2020-5-12,171
234,2020-2-18,177
234,2020-10-5,169
234,2021-8-10,162
235,2021-1-11,52
235,2021-9-11,47
236,2021-8-7,87
236,2021-6-13,89
237,2021-6-13,198
237,2020-3-18,193
238,2020-10-28,92
238,2020-2-4,97
239,2021-8-20,231
239,2020-6-24,231
239,2021-10-5,229
240,2020-8-1,108
240,2020-2-18,114
240,2021-6-17,103
240,2020-7-25,113
241,2021-10-26,210
241,2020-5-14,216
241,2020-4-14,203
241,2020-1-19,208
242,2021-12-11,32
242,2021-8-11,30
242,2021-5-18,49
242,2020-1-22,30
243,2021-1-26,212
243,2021-6-1,207
244,2021-12-9,37
244,2021-9-14,41
245,2020-6-2,250
245,2020-9-28,252
246,2020-1-4,94
246,2021-10-5,107
247,2020-12-23,86
247,2020-12-19,81
247,2021-2-24,81
247,2021-7-13,74
248,2021-11-13,141
248,2020-2-17,130
249,2021-10-16,213
249,2020-11-3,201
249,2021-11-15,199
249,2021-1-15,207
250,2020-11-20,89
250,2020-2-15,105
250,2021-3-6,102
250,2020-10-19,98
251,2021-8-20,37
251,2020-9-5,40
251,2020-9-27,54
252,2020-7-19,166
252,2020-10-19,154
253,2021-6-23,158
253,2021-1-14,166
253,2021-5-5,174
254,2021-2-10,27
254,2020-12-18,29
254,2020-5-23,18
254,2021-7-22,20
255,2020-8-5,62
255,2020-10-20,54
255,2021-6-23,51
256,2021-9-13,72
256,2020-5-20,73
257,2020-4-10,237
257,2020-8-16,237
258,2021-7-27,67
258,2021-12-9,65
258,2021-1-14,62
259,2021-1-25,30
259,2020-8-20,18
260,2021-9-19,52
260,2020-1-25,45
260,2021-10-23,46
260,2020-2-3,45
261,2020-7-23,40
261,2021-5-21,54
262,2021-2-1,81
262,2021-2-26,74
262,2020-1-19,76
262,2020-4-2,72
263,2021-11-4,102
263,2021-5-15,115
264,2021-11-4,148
264,2021-7-28,137
264,2020-12-1,147
265,2020-1-2,65
265,2020-9-28,54
266,2020-6-6,159
266,2021-8-25,167
267,2021-11-24,220
267,2020-1-11,219
268,2021-4-15,86
268,2020-12-28,82
268,2021-9-12,81
269,2020-2-17,203
269,2020-3-12,222
270,2020-1-2,93
270,2021-12-21,92
271,2020-2-1,92
271,2020-9-18,80
271,2020-5-15,88
271,2021-9-2,78
272,2021-6-11,35
272,2020-5-26,39
272,2020-9-3,47
273,2020-5-17,78
273,2020-2-16,70
274,2021-6-26,38
274,2021-7-5,43
274,2021-6-14,40
275,2020-9-27,196
275,2021-6-7,185
276,2020-5-6,81
276,2020-3-16,66
276,2020-8-22,71
276,2020-6-11,79
277,2021-3-16,72
277,2021-8-4,61
278,2021-11-4,195
278,2021-2-27,206
279,2021-9-11,227
279,2020-8-1,216
279,2020-4-21,222
279,2021-12-21,230
280,2020-8-25,146
280,2020-10-9,150
281,2021-10-26,46
281,2021-5-1,40
282,2020-9-11,187
282,2020-12-8,196
283,2021-4-13,89
283,2021-10-12,99
283,2021-11-8,103
283,2020-9-27,104
284,2021-4-12,215
284,2020-7-4,221
284,2021-10-21,205
284,2021-5-17,214
285,2021-4-25,158
285,2021-9-2,151
285,2020-3-10,157
285,2021-8-10,159
286,2020-2-4,156
286,2020-11-1,165
286,2020-7-11,150
287,2020-3-10,229
287,2020-5-2,218
287,2020-1-21,219
287,2020-4-3,225
288,2021-6-18,202
288,2021-10-27,200
289,2020-12-4,227
289,2020-10-27,230
290,2021-8-19,243
290,2020-4-11,260
291,2021-1-17,243
291,2020-12-6,246
291,2021-2-27,243
291,2020-12-14,243
292,2021-4-28,78
292,2020-12-11,84
292,2021-2-19,81
293,2021-3-22,123
293,2020-1-11,125
294,2020-1-11,160
294,2021-7-20,165
295,2020-5-28,108
295,2021-5-14,113
295,2021-11-27,107
295,2020-9-6,114
296,2021-3-22,82
296,2021-12-21,88
297,2020-7-27,142
297,2021-8-15,136
297,2020-2-4,125
297,2020-5-21,142
298,2021-9-6,114
298,2021-2-8,112
299,2021-2-25,30
299,2020-9-5,25
299,2020-6-10,19
300,2021-10-9,252
300,2020-9-14,246
300,2020-7-11,239
300,2021-4-28,245
301,2021-9-17,143
301,2021-11-7,155
301,2020-10-26,152
302,2021-10-22,243
302,2021-11-2,246
303,2020-3-14,191
303,2021-11-19,174
303,2021-7-14,187
303,2021-5-21,192
304,2020-2-11,77
304,2021-4-8,79
304,2021-12-18,77
305,2020-4-1,112
305,2020-6-23,110
306,2020-4-3,147
306,2020-5-9,138
307,2021-3-11,260
307,2021-4-10,265
307,2020-5-10,270
308,2020-6-15,98
308,2021-5-21,110
309,2020-6-21,228
309,2021-8-22,231
310,2020-2-6,142
310,2021-7-24,128
311,2021-6-27,166
311,2021-1-16,164
312,2021-10-9,180
312,2021-6-4,186
312,2020-4-8,180
313,2020-3-15,240
313,2020-3-26,242
313,2021-10-9,255
314,2021-11-20,160
314,2020-3-3,163
314,2021-7-14,157
315,2021-2-10,260
315,2021-10-12,255
315,2020-3-5,265
315,2021-10-20,259
316,2021-10-11,195
316,2020-6-10,190
316,2021-2-21,180
316,2021-8-8,188
317,2020-7-28,104
317,2021-7-26,105
318,2021-7-23,142
318,2020-4-14,141
318,2021-12-19,134
318,2020-11-3,126
319,2021-2-12,145
319,2020-5-5,136
319,2020-11-17,134
320,2020-9-3,239
320,2020-10-25,225
320,2021-2-8,232
320,2021-8-1,234
321,2021-11-19,104
321,2021-5-20,121
321,2021-12-26,110
322,2020-2-12,103
322,2020-10-15,105
322,2021-6-19,115
322,2020-11-26,111
323,2020-11-8,169
323,2021-12-2,160
323,2021-6-20,159
323,2021-4-27,161
324,2020-7-5,183
324,2020-12-16,178
325,2020-6-4,127
325,2020-6-22,113
326,2021-6-17,146
326,2021-8-13,148
327,2021-10-20,69
327,2021-2-9,69
328,2021-12-27,60
328,2021-9-21,63
328,2021-11-20,52
329,2021-3-28,169
329,2021-5-1,175
329,2020-10-11,158
329,2020-2-1,158
330,2020-4-19,114
330,2020-3-28,112
331,2021-7-14,241
331,2020-6-2,250
331,2020-7-21,239
332,2020-6-13,54
332,2021-4-22,44
332,2021-10-20,39
332,2020-1-4,51
333,2020-1-17,84
333,2021-6-26,85
334,2021-3-9,193
334,2020-2-27,180
335,2020-12-20,22
335,2021-9-9,25
335,2021-9-18,20
335,2020-5-18,23
336,2021-6-9,49
336,2020-10-14,44
336,2021-2-4,54
337,2021-10-17,194
337,2020-6-11,209
337,2021-10-14,196
337,2020-1-20,210
338,2020-3-12,74
338,2020-5-21,74
338,2020-12-15,73
339,2020-10-5,35
339,2021-7-16,43
340,2021-8-11,164
340,2021-2-15,176
341,2020-8-9,54
341,2020-10-25,51
341,2021-5-3,64
342,2021-10-25,133
342,2021-9-9,120
343,2020-7-7,67
343,2021-5-17,77
343,2021-10-3,63
343,2021-6-3,74
344,2020-11-19,237
344,2020-2-26,222
344,2020-4-12,228
345,2021-3-28,151
345,2020-1-5,149
345,2021-12-5,162
346,2021-11-9,44
346,2021-6-7,43
347,2021-1-17,255
347,2021-6-18,240
347,2021-3-24,254
348,2021-2-27,222
348,2021-11-16,216
348,2021-11-24,232
348,2020-4-23,224
349,2020-7-15,135
349,2021-1-9,141
349,2020-9-22,149
350,2021-11-23,52
350,2021-12-27,54
350,2021-3-10,53
351,2021-3-10,262
351,2020-10-11,253
352,2021-7-19,211
352,2020-11-13,211
352,2021-1-3,216
352,2020-12-4,213
353,2020-7-7,191
353,2021-2-26,197
353,2020-6-2,187
353,2021-11-28,192
354,2021-8-5,250
354,2021-8-19,264
354,2021-4-20,265
355,2021-2-27,136
355,2021-5-10,141
356,2020-11-19,243
356,2020-5-14,260
356,2020-2-6,256
356,2020-4-26,248
357,2020-11-20,193
357,2021-9-16,192
357,2020-4-12,190
357,2020-12-4,184
358,2020-10-4,90
358,2021-4-20,80
358,2021-8-27,84
358,2020-4-4,94
359,2021-1-22,73
359,2021-7-25,64
359,2021-6-12,66
360,2020-8-11,230
360,2021-2-19,234
361,2020-1-13,249
361,2021-12-25,239
362,2021-1-9,29
362,2021-11-10,18
363,2020-8-20,68
363,2020-6-11,71
363,2020-5-23,74
363,2020-7-17,66
364,2021-11-21,98
364,2020-9-24,101
364,2021-10-17,91
364,2020-1-15,105
365,2020-4-24,230
365,2020-11-14,227
366,2021-3-12,242
366,2020-2-20,236
367,2021-4-15,53
367,2020-12-15,46
368,2020-4-27,58
368,2020-9-7,64
368,2020-5-26,60
368,2021-4-3,70
369,2021-1-15,195
369,2021-2-2,182
369,2020-4-22,197
370,2020-1-19,96
370,2021-3-27,81
371,2021-7-20,124
371,2020-3-22,121
371,2020-9-17,109
372,2020-10-8,212
372,2020-7-8,199
372,2021-11-3,216
373,2020-3-22,220
373,2021-9-6,214
373,2021-1-18,218
373,2021-4-18,212
374,2020-6-1,25
374,2021-10-19,31
374,2020-12-18,24
374,2020-11-2,31
375,2021-3-5,194
375,2021-7-2,197
375,2021-8-19,205
376,2021-5-18,153
376,2020-9-27,149
376,2021-1-10,154
377,2020-9-19,239
377,2020-4-6,240
377,2020-6-20,227
378,2020-8-17,83
378,2021-1-26,82
379,2021-10-22,51
379,2020-5-18,56
379,2021-3-19,44
380,2020-6-6,221
380,2020-3-6,222
380,2021-8-19,228
380,2020-8-16,226
381,2021-5-4,109
381,2020-10-6,110
381,2020-9-27,102
382,2020-4-15,27
382,2020-2-9,25
382,2021-4-24,29
383,2021-5-12,121
383,2020-11-28,121
383,2021-2-27,109
384,2021-2-21,177
384,2021-9-21,163
384,2020-1-4,165
384,2020-5-2,171
385,2020-11-28,169
385,2020-1-6,175
385,2021-9-25,156
385,2021-7-22,162
386,2021-3-23,248
386,2021-7-26,248
386,2021-10-9,245
386,2020-3-16,246
387,2020-11-17,25
387,2020-1-20,35
387,2021-6-8,35
387,2020-8-13,37
388,2020-9-3,76
388,2021-1-18,67
388,2021-1-23,80
389,2021-7-21,94
389,2020-10-16,85
389,2020-7-6,94
389,2020-3-17,92
390,2020-11-16,145
390,2020-3-14,143
390,2021-1-8,146
390,2021-5-22,142
391,2021-1-1,60
391,2020-6-10,69
392,2021-3-22,83
392,2021-1-1,88
392,2020-2-13,79
392,2021-5-7,86
393,2021-9-3,78
393,2021-8-4,93
393,2021-8-2,97
393,2020-8-14,89
394,2021-8-1,22
394,2021-5-23,26
395,2021-2-28,170
395,2021-10-22,177
395,2021-6-14,161
395,2020-8-26,173
396,2021-4-25,60
396,2021-5-21,51
396,2021-4-11,57
397,2020-12-15,219
397,2021-5-3,222
397,2021-5-16,220
398,2020-5-28,121
398,2021-4-24,109
398,2021-3-28,122
399,2020-12-24,154
399,2020-9-7,156
399,2021-6-7,165
400,2020-5-18,18
400,2021-12-26,34
400,2020-5-2,32
400,2020-3-2,30
401,2021-5-11,165
401,2020-1-10,164
402,2021-6-19,108
402,2021-4-2,96
402,2020-6-2,98
403,2020-9-11,135
403,2020-11-28,133
404,2021-6-18,185
404,2020-11-3,186
405,2021-11-4,210
405,2021-8-28,215
405,2020-5-16,211
405,2021-12-9,217
406,2020-8-25,196
406,2020-3-16,201
406,2021-9-5,199
406,2020-7-3,207
407,2020-4-4,105
407,2021-8-13,106
407,2020-7-9,99
407,2021-4-4,93
408,2021-12-11,251
408,2020-11-13,247
408,2020-12-17,255
408,2020-12-28,254
409,2021-7-16,238
409,2021-6-6,251
410,2020-10-20,230
410,2020-6-15,219
410,2020-5-18,230
410,2021-6-14,231
411,2021-10-8,63
411,2021-9-25,56
412,2021-1-7,164
412,2021-6-2,167
412,2021-11-24,167
413,2020-11-25,221
413,2020-4-2,215
413,2020-10-28,227
414,2020-11-20,229
414,2021-11-4,226
414,2020-12-28,223
414,2020-2-11,233
415,2020-3-24,35
415,2020-8-10,28
416,2021-1-22,88
416,2021-10-23,89
417,2021-10-5,166
417,2021-7-18,163
417,2020-11-21,153
417,2021-9-20,157
