id_client,id_commande,id_produit,id_colis,exemplaire,date_avis,avis,etoile
14973,3844,335,3844,1,2021-2-2,je suis deçu,5
57180,3929,1879,3929,5,2021-2-26,tres mauvaise qualité,2
62193,3937,1342,3937,4,2021-7-19,je suis deçu,5
79812,3979,471,3979,3,2020-6-12,je vous le conseille le produit est magnifique,3
5067,3990,1865,3990,1,2020-5-25,le produit n est pas original,2
45386,4021,710,4021,1,2021-6-23,j aime bien ,5
51432,4022,2133,4022,2,2020-2-17,le produit n est pas original,4
87330,4120,302,4120,1,2021-9-28,j aime pas trop,1
10304,4152,168,4152,5,2020-9-14,top,5
91390,4206,2029,4206,1,2020-10-22,flop,2
54636,4230,1704,4230,4,2021-5-13,je suis content,3
93261,4256,1748,4256,1,2020-7-13,je suis contente,1
34288,4263,1115,4263,5,2021-10-4,je vous le conseille le produit est magnifique,2
78714,4295,362,4295,3,2021-9-17,le produit n est pas original,5
47369,4328,962,4328,2,2021-3-21,je suis content,5
26233,4329,1715,4329,2,2020-5-1,je suis content,4
79987,4369,1016,4369,4,2020-8-7,j adoooore ce produt,1
78349,4397,843,4397,1,2020-1-5,flop,1
36156,4426,1214,4426,2,2020-12-7,je vous le conseille le produit est magnifique,4
4209,4432,1700,4432,3,2021-12-4,flop,4
4374,4456,502,4456,4,2021-11-11,j aime bien ,2
24736,4472,230,4472,2,2021-11-2,je suis deçu,
73477,4481,978,4481,1,2021-1-5,top,5
33800,4527,1121,4527,3,2021-12-3,je suis deçu,4
34465,4530,1978,4530,3,2020-4-22,tres mauvaise qualité,3
69655,4626,517,4626,2,2020-7-16,top,2
7687,4670,250,4670,5,2021-1-15,tres bonne qualité,4
54678,4698,547,4698,2,2020-10-3,je suis contente,5
54678,4698,2117,4698,3,2020-10-3,je vous le conseille le produit est magnifique,1
90234,4699,1924,4699,2,2021-9-14,top,4
40742,4879,461,4879,1,2021-2-27,j aime pas trop,2
43647,4931,818,4931,1,2021-10-15,tres bonne qualité,4
10977,4959,229,4959,1,2020-7-14,je suis content,1
92769,5038,888,5038,2,2021-3-19,j aime bien ,3
76870,5167,179,5167,1,2020-7-22,tres bonne qualité,3
52680,5186,963,5186,2,2020-9-6,je vous le conseille le produit est magnifique,5
79403,5259,1768,5259,4,2021-7-23,j aime pas trop,3
44113,5305,821,5305,3,2020-8-4,tres mauvaise qualité,3
22242,5560,254,5560,2,2021-5-7,je suis deçu,4
93468,5604,744,5604,2,2020-4-24,je vous le conseille le produit est magnifique,5
15421,5629,1559,5629,1,2020-8-21,je vous le conseille le produit est magnifique,2
15421,5629,1852,5629,4,2020-8-21,j adoooore ce produt,2
88742,5633,2076,5633,5,2020-7-24,le produit n est pas original,1
69587,5730,1849,5730,1,2020-4-19,top,4
58977,5744,1554,5744,1,2020-6-2,j aime pas trop,2
70611,5785,1502,5785,1,2020-12-23,je suis deçu,2
26263,5793,1559,5793,4,2020-6-14,tres mauvaise qualité,4
57076,5851,1296,5851,1,2021-5-8,je suis contente,5
81399,5854,394,5854,4,2021-4-17,je suis content,5
42601,5912,725,5912,4,2020-1-25,le produit n est pas original,5
76900,5939,623,5939,4,2020-2-2,flop,5
19424,5997,1695,5997,1,2021-7-27,je suis deçu,
7682,5998,2104,5998,2,2020-9-24,j adoooore ce produt,3
44227,6002,1245,6002,5,2020-4-17,je suis deçu,2
23772,6058,1669,6058,3,2021-12-5,flop,2
7934,6132,89,6132,3,2021-7-23,tres bonne qualité,5
18395,6139,1888,6139,1,2021-9-21,je vous le conseille le produit est magnifique,2
92807,6336,371,6336,2,2021-12-8,j adoooore ce produt,2
84797,6413,731,6413,2,2021-8-11,top,1
43522,6422,1474,6422,2,2020-1-24,je suis deçu,1
30283,6433,1845,6433,1,2020-1-8,je suis deçu,3
16939,6491,186,6491,1,2021-6-18,le produit n est pas original,5
51498,6557,800,6557,3,2020-2-21,tres mauvaise qualité,1
86162,6614,745,6614,1,2021-8-8,j aime pas trop,4
22615,6759,1171,6759,1,2021-5-26,je suis content,5
36051,6786,605,6786,2,2021-12-15,tres bonne qualité,1
95082,6949,113,6949,3,2021-11-27,je suis deçu,5
74221,6974,1272,6974,2,2021-12-18,je suis content,3
72803,6975,1772,6975,2,2021-10-5,je vous le conseille le produit est magnifique,5
22307,6981,1450,6981,1,2020-12-7,tres bonne qualité,5
80847,7007,1001,7007,1,2021-1-13,tres mauvaise qualité,1
32830,7074,548,7074,1,2020-4-11,top,5
34442,7133,1956,7133,1,2021-3-25,top,3
81141,7168,1704,7168,3,2020-11-6,top,4
88557,7170,635,7170,1,2021-8-28,je suis contente,3
35807,7229,1780,7229,1,2020-7-10,tres bonne qualité,4
30613,7255,958,7255,1,2021-10-4,j aime bien ,3
38496,7284,1340,7284,2,2021-10-13,j aime bien ,5
11229,7306,657,7306,2,2020-3-11,je suis contente,2
16525,7317,768,7317,4,2021-1-25,tres mauvaise qualité,4
75093,7334,2131,7334,3,2020-5-5,je suis contente,5
12461,7335,873,7335,1,2021-8-24,tres mauvaise qualité,3
45996,7353,1727,7353,2,2021-12-25,je vous le conseille le produit est magnifique,3
65477,7379,758,7379,1,2020-6-11,flop,2
83165,7435,170,7435,2,2021-12-6,j aime bien ,1
44019,7457,702,7457,1,2020-11-11,flop,1
82589,7521,581,7521,1,2021-5-18,je suis content,5
38285,7694,1342,7694,4,2020-12-8,le produit n est pas original,5
47781,7858,485,7858,4,2021-11-23,j aime bien ,1
75266,7866,1631,7866,5,2020-11-17,j adoooore ce produt,3
34813,7870,1720,7870,5,2021-3-13,j adoooore ce produt,5
3994,7880,747,7880,4,2021-1-16,tres mauvaise qualité,3
97828,7913,1816,7913,1,2020-1-13,j aime bien ,1
25083,7928,127,7928,3,2021-11-10,flop,2
42219,7997,1275,7997,1,2020-8-22,flop,2
42219,7997,1115,7997,2,2020-8-22,je suis deçu,3
40477,8045,1976,8045,2,2020-3-10,j aime bien ,5
77542,8173,1689,8173,3,2020-10-23,le produit n est pas original,2
83744,8262,1990,8262,1,2021-8-1,tres mauvaise qualité,3
76902,8284,1735,8284,3,2021-12-25,top,3
52174,8300,1322,8300,2,2020-2-11,j adoooore ce produt,2
67246,8496,1457,8496,4,2020-7-13,je vous le conseille le produit est magnifique,5
55573,8500,477,8500,5,2021-2-26,le produit n est pas original,3
71235,8520,2050,8520,1,2020-5-3,le produit n est pas original,3
42987,8687,704,8687,1,2020-7-20,top,3
33982,8711,1873,8711,1,2021-6-23,j adoooore ce produt,4
19503,8792,1964,8792,1,2020-9-7,je suis contente,2
10580,8810,495,8810,1,2020-7-22,je suis deçu,1
6532,8925,1062,8925,2,2020-6-18,le produit n est pas original,5
52446,8931,94,8931,1,2021-12-13,tres bonne qualité,4
35723,8994,383,8994,1,2021-9-19,le produit n est pas original,4
27804,9000,1213,9000,4,2020-10-8,tres bonne qualité,1
13934,9008,1682,9008,3,2020-1-24,tres mauvaise qualité,5
79362,9024,158,9024,2,2021-10-11,je suis contente,2
30422,9086,870,9086,2,2020-2-21,j aime pas trop,4
23470,9160,1416,9160,1,2021-10-2,je vous le conseille le produit est magnifique,4
25533,9258,939,9258,1,2020-6-1,le produit n est pas original,3
63230,9261,1773,9261,3,2020-4-27,le produit n est pas original,2
59519,9281,15,9281,3,2021-4-25,j aime pas trop,4
57989,9304,2025,9304,1,2020-12-20,le produit n est pas original,1
30390,9413,1269,9413,2,2020-7-27,flop,5
41716,9434,1320,9434,4,2021-7-23,flop,3
84465,9479,1446,9479,1,2020-5-13,j adoooore ce produt,1
44591,9686,615,9686,1,2020-3-14,tres bonne qualité,1
57834,9818,1914,9818,3,2021-6-25,tres bonne qualité,5
39911,9847,1537,9847,3,2021-1-23,j aime pas trop,4
20773,9873,376,9873,5,2021-7-19,je suis content,1
88980,9952,2026,9952,5,2021-2-21,tres bonne qualité,2
86588,10034,457,10034,3,2021-3-17,j aime pas trop,4
83682,10059,1537,10059,1,2021-9-1,le produit n est pas original,5
84806,10069,214,10069,2,2020-7-26,tres mauvaise qualité,5
67937,10120,1842,10120,1,2021-2-17,le produit n est pas original,4
23247,10134,1794,10134,2,2020-10-12,je suis deçu,2
49667,10141,2021,10141,1,2021-7-13,je suis deçu,5
67451,10265,719,10265,2,2021-7-2,j adoooore ce produt,3
88640,10274,67,10274,1,2020-4-5,je suis contente,
9923,10294,1342,10294,2,2020-5-16,tres bonne qualité,4
96275,10338,647,10338,3,2020-2-18,top,5
84933,10361,1493,10361,1,2020-2-2,flop,2
7555,10369,397,10369,2,2021-3-1,top,5
58846,10381,1156,10381,1,2020-3-3,top,1
8736,10392,195,10392,4,2021-9-22,j adoooore ce produt,2
7562,10420,2153,10420,1,2020-4-15,tres bonne qualité,1
21367,10494,1055,10494,1,2020-5-10,je suis deçu,5
31938,10519,54,10519,4,2020-11-27,j aime pas trop,2
91620,10563,2042,10563,2,2021-10-8,j adoooore ce produt,2
86997,10617,1595,10617,1,2020-11-22,je vous le conseille le produit est magnifique,3
16262,10731,815,10731,1,2020-3-20,top,3
4715,10734,884,10734,4,2020-5-26,je vous le conseille le produit est magnifique,3
50995,10749,396,10749,1,2020-9-22,tres mauvaise qualité,1
14451,10813,75,10813,1,2021-2-5,je suis contente,3
19097,10816,1007,10816,5,2021-4-4,je suis contente,3
51429,10820,1550,10820,3,2020-12-10,top,5
94338,10925,949,10925,2,2021-12-15,je suis contente,5
64455,10971,237,10971,5,2020-3-5,je suis deçu,2
86785,10981,1609,10981,3,2021-5-22,j aime bien ,2
62135,11029,1693,11029,3,2021-10-8,je suis content,2
89890,11111,1783,11111,4,2020-4-21,je suis contente,3
25601,11143,1791,11143,2,2021-11-1,tres bonne qualité,2
50615,11172,1906,11172,1,2020-11-26,tres mauvaise qualité,5
17146,11184,315,11184,3,2021-12-26,j aime bien ,1
59523,11250,1873,11250,4,2021-8-10,le produit n est pas original,3
91890,11300,1467,11300,2,2020-7-14,j aime bien ,3
19511,11323,1016,11323,1,2020-11-23,flop,5
37690,11335,841,11335,1,2021-12-3,je vous le conseille le produit est magnifique,3
7461,11343,958,11343,4,2021-6-3,tres bonne qualité,5
63874,11358,1138,11358,1,2020-7-9,j adoooore ce produt,5
1389,11370,835,11370,4,2021-6-19,je suis contente,3
38156,11410,47,11410,4,2021-6-27,top,
18879,11430,1218,11430,1,2020-3-10,j aime bien ,2
26952,11434,367,11434,1,2020-9-10,je suis contente,3
52590,11527,1985,11527,5,2021-3-18,top,3
59849,11611,1937,11611,2,2021-4-25,je suis deçu,5
7925,11654,1542,11654,2,2021-8-9,je suis content,1
23625,11671,2182,11671,3,2021-12-10,flop,5
15175,11797,1441,11797,5,2020-7-17,flop,1
72471,11803,52,11803,2,2020-7-22,j adoooore ce produt,2
52407,11852,890,11852,2,2020-7-8,j adoooore ce produt,5
74800,11881,1169,11881,4,2021-12-12,j aime pas trop,5
91588,11986,1909,11986,1,2020-2-20,tres mauvaise qualité,3
49560,12043,975,12043,1,2021-9-27,je suis deçu,3
57808,12094,1943,12094,1,2020-11-10,je suis contente,1
67078,12136,1535,12136,1,2021-8-28,tres bonne qualité,3
23721,12141,1737,12141,1,2020-5-15,tres mauvaise qualité,3
57680,12283,715,12283,5,2020-3-8,flop,5
72214,12338,1458,12338,3,2021-9-24,le produit n est pas original,3
73170,12356,700,12356,4,2021-1-8,tres mauvaise qualité,1
90953,12372,1211,12372,2,2021-4-18,le produit n est pas original,1
85651,12406,106,12406,1,2021-2-5,tres mauvaise qualité,1
42488,12417,211,12417,3,2020-9-5,j aime bien ,2
16931,12513,1132,12513,1,2021-2-15,je suis deçu,4
11574,12570,1362,12570,2,2020-10-6,je suis contente,5
83588,12592,2050,12592,1,2020-2-27,j aime pas trop,3
55341,12602,1687,12602,1,2020-8-27,j adoooore ce produt,3
32296,12612,387,12612,2,2020-11-15,top,4
81262,12615,121,12615,2,2020-7-21,j aime pas trop,2
59858,12827,2029,12827,1,2021-4-17,je suis contente,5
48492,12887,743,12887,3,2021-3-25,je suis content,3
19755,12898,1706,12898,1,2020-1-1,le produit n est pas original,1
33924,12920,1731,12920,3,2020-4-28,je suis contente,2
74112,12921,1060,12921,4,2020-10-21,je suis deçu,1
25459,13108,1446,13108,3,2021-11-9,je suis deçu,1
64939,13120,1447,13120,1,2021-12-27,tres mauvaise qualité,3
83629,13132,1506,13132,1,2021-6-16,flop,2
42807,13141,1987,13141,1,2020-8-9,flop,2
63896,13193,1017,13193,2,2021-11-7,j aime bien ,2
19598,13292,1376,13292,1,2020-9-28,je suis deçu,2
68875,13315,382,13315,3,2020-11-8,je suis contente,4
17904,13330,612,13330,1,2020-5-13,je suis deçu,5
41238,13337,2046,13337,1,2021-12-12,j aime bien ,5
37151,13401,1037,13401,2,2021-10-14,le produit n est pas original,5
68170,13487,719,13487,2,2021-8-27,je vous le conseille le produit est magnifique,3
9690,13488,1718,13488,2,2020-5-19,je suis contente,5
89792,13496,156,13496,2,2021-2-13,le produit n est pas original,5
30060,13505,1984,13505,1,2020-1-17,je suis contente,4
7470,13518,806,13518,1,2020-10-26,je vous le conseille le produit est magnifique,3
37314,13535,2061,13535,2,2020-11-13,j aime bien ,3
72883,13572,23,13572,2,2021-6-12,j adoooore ce produt,2
94230,13595,217,13595,2,2021-6-17,je suis contente,5
31711,13664,1502,13664,2,2021-10-27,top,5
4464,13705,939,13705,1,2020-2-26,je suis deçu,5
24144,13712,1575,13712,2,2020-11-7,je vous le conseille le produit est magnifique,2
51084,13780,172,13780,2,2020-9-20,flop,5
58479,13799,2063,13799,3,2021-9-4,tres bonne qualité,1
12183,13825,2188,13825,1,2021-5-26,tres bonne qualité,2
12443,13835,1760,13835,2,2021-11-10,tres bonne qualité,2
22729,13857,1480,13857,3,2020-9-9,je suis deçu,5
35164,13907,634,13907,3,2020-11-13,je suis contente,3
47196,13932,1410,13932,2,2020-10-6,j adoooore ce produt,2
50168,14056,1379,14056,3,2020-12-8,je vous le conseille le produit est magnifique,5
7070,14067,1632,14067,2,2020-11-12,tres mauvaise qualité,1
497,14132,83,14132,5,2020-11-24,j aime pas trop,2
88787,14185,1453,14185,1,2021-10-3,le produit n est pas original,4
22187,14210,1707,14210,2,2021-5-28,je vous le conseille le produit est magnifique,1
96130,14248,1518,14248,1,2021-3-10,tres bonne qualité,3
44364,14261,1733,14261,2,2020-12-16,le produit n est pas original,5
58575,14267,292,14267,3,2021-3-23,tres bonne qualité,3
86349,14280,245,14280,1,2020-6-15,flop,4
41907,14370,1691,14370,2,2021-4-10,j aime pas trop,1
71751,14382,1361,14382,3,2020-4-16,j aime bien ,3
36873,14407,1706,14407,1,2020-7-23,j aime bien ,1
2088,14422,1087,14422,1,2021-7-10,tres bonne qualité,3
23390,14432,845,14432,5,2020-12-26,je suis contente,2
59829,14485,1161,14485,1,2021-4-1,tres mauvaise qualité,5
95311,14588,410,14588,1,2020-5-8,le produit n est pas original,3
14545,14590,1874,14590,3,2020-3-19,tres bonne qualité,1
2063,14617,1450,14617,1,2021-4-9,j aime pas trop,3
22766,14643,665,14643,2,2020-8-11,j aime bien ,4
40856,14655,1910,14655,2,2021-5-20,je suis deçu,2
39475,14678,313,14678,2,2020-8-6,je suis contente,4
25215,14690,1666,14690,4,2020-6-11,tres mauvaise qualité,1
78875,14738,319,14738,1,2020-1-25,top,4
78967,14757,1919,14757,5,2021-5-27,tres bonne qualité,1
21286,14811,1770,14811,4,2021-2-18,tres bonne qualité,3
51592,14814,126,14814,3,2020-11-9,j aime bien ,2
47819,14819,1467,14819,1,2020-8-10,je suis content,1
5453,14823,1355,14823,2,2021-4-13,j aime pas trop,2
73172,14857,283,14857,1,2020-12-18,j aime pas trop,2
45805,14864,866,14864,5,2021-5-14,j aime pas trop,1
32360,14898,1567,14898,1,2020-9-1,top,2
45854,14900,842,14900,2,2021-3-18,tres mauvaise qualité,4
36254,14907,629,14907,3,2021-6-18,je suis content,2
11338,14930,1306,14930,4,2020-4-25,tres bonne qualité,3
88789,14997,640,14997,1,2021-12-15,tres mauvaise qualité,5
29436,15082,1189,15082,2,2020-7-26,je suis content,3
79912,15136,73,15136,1,2020-10-12,tres mauvaise qualité,1
71282,15201,1704,15201,2,2021-4-9,tres bonne qualité,4
36454,15327,612,15327,1,2021-2-14,j adoooore ce produt,2
11151,15347,1447,15347,3,2021-2-14,j adoooore ce produt,1
42924,15364,1251,15364,1,2021-4-15,flop,2
1359,15405,308,15405,2,2021-3-8,je suis deçu,2
70878,15413,1284,15413,3,2021-8-12,tres bonne qualité,2
35065,15608,968,15608,2,2021-8-9,tres bonne qualité,
95074,15628,2020,15628,3,2020-1-13,tres bonne qualité,1
12805,15662,60,15662,4,2020-7-15,j aime pas trop,4
18127,15763,256,15763,3,2021-5-17,j aime bien ,4
89642,15810,2089,15810,2,2020-12-23,je suis deçu,3
47539,15828,1146,15828,4,2021-9-11,je suis deçu,3
45969,15882,641,15882,4,2021-11-24,j aime pas trop,5
59839,15949,1022,15949,2,2020-2-26,tres mauvaise qualité,2
16811,15985,1158,15985,3,2020-9-14,j aime bien ,4
8827,16072,884,16072,4,2021-12-26,flop,2
48455,16101,1095,16101,2,2020-3-21,j adoooore ce produt,2
53225,16117,1030,16117,1,2021-11-6,je suis contente,4
2874,16207,565,16207,1,2021-9-4,je suis content,2
76749,16258,1813,16258,1,2021-7-23,top,1
46525,16294,896,16294,2,2021-8-8,j aime pas trop,4
41025,16296,2021,16296,4,2020-10-23,tres mauvaise qualité,2
6298,16300,1726,16300,2,2020-9-12,je vous le conseille le produit est magnifique,2
65357,16331,1472,16331,4,2021-4-1,j aime bien ,4
82437,16360,981,16360,4,2021-1-13,flop,1
28023,16363,327,16363,1,2020-11-7,je vous le conseille le produit est magnifique,2
72537,16423,809,16423,1,2020-1-4,top,3
39477,16516,2083,16516,2,2021-5-7,je suis contente,1
83725,16690,706,16690,2,2021-6-6,j aime pas trop,3
19752,16733,504,16733,2,2021-5-25,je suis content,5
77271,16749,716,16749,2,2021-12-20,j aime pas trop,1
10983,16789,987,16789,4,2020-1-21,flop,1
43678,16807,836,16807,4,2021-2-6,je suis content,2
95128,16823,232,16823,1,2021-5-16,le produit n est pas original,2
28844,16956,2179,16956,2,2021-5-2,top,4
17305,17020,574,17020,3,2020-3-9,le produit n est pas original,5
45424,17042,1230,17042,3,2021-6-11,flop,3
70561,17070,894,17070,1,2020-1-21,j adoooore ce produt,2
90359,17071,1765,17071,1,2021-2-27,j aime pas trop,3
87716,17128,1624,17128,3,2020-4-19,je suis deçu,5
38596,17161,896,17161,2,2020-2-22,j aime pas trop,5
8000,17256,1087,17256,3,2020-9-4,tres mauvaise qualité,3
60038,17278,1212,17278,5,2021-6-25,top,1
39780,17362,1049,17362,2,2020-9-9,j adoooore ce produt,4
39780,17362,1988,17362,5,2020-9-9,top,4
3668,17422,321,17422,2,2021-4-21,j aime pas trop,2
41088,17486,1070,17486,3,2021-9-16,je suis content,2
37462,17538,681,17538,1,2020-2-18,je suis deçu,5
37295,17584,701,17584,4,2020-3-6,le produit n est pas original,5
17121,17636,1269,17636,2,2021-7-15,je vous le conseille le produit est magnifique,3
54263,17743,1335,17743,1,2020-6-7,flop,5
64061,17770,1878,17770,2,2020-2-26,tres mauvaise qualité,4
10516,17799,1752,17799,3,2020-2-23,flop,1
67298,17878,301,17878,2,2020-9-6,j aime bien ,3
53712,17970,1800,17970,3,2021-11-24,je suis content,3
41314,17983,256,17983,1,2021-11-4,je suis content,3
74640,18043,1827,18043,3,2021-1-20,flop,4
1424,18071,737,18071,1,2021-3-13,top,4
41462,18097,118,18097,3,2020-7-24,je vous le conseille le produit est magnifique,3
75664,18159,1965,18159,1,2020-7-12,flop,5
25984,18211,2000,18211,2,2020-6-26,je vous le conseille le produit est magnifique,2
23876,18226,926,18226,3,2021-2-17,j adoooore ce produt,5
42407,18273,414,18273,4,2021-5-6,top,4
24641,18296,1726,18296,2,2020-6-25,j aime pas trop,3
24641,18296,1681,18296,4,2020-6-25,je vous le conseille le produit est magnifique,3
67821,18304,459,18304,2,2020-12-4,j adoooore ce produt,3
36487,18339,1697,18339,4,2020-6-13,je vous le conseille le produit est magnifique,2
33776,18377,511,18377,2,2020-12-19,je suis deçu,4
745,18404,159,18404,1,2021-5-23,tres mauvaise qualité,1
15249,18440,160,18440,1,2021-12-17,je suis contente,4
3678,18529,2034,18529,2,2020-11-23,top,2
59128,18552,2184,18552,1,2020-1-17,top,1
31791,18617,533,18617,3,2020-4-23,je suis contente,3
14668,18691,1822,18691,1,2021-7-22,tres bonne qualité,4
23203,18701,2051,18701,1,2020-7-7,top,4
52219,18722,1849,18722,1,2020-7-3,top,3
76819,18749,889,18749,3,2020-11-3,j aime pas trop,1
80853,18777,477,18777,1,2021-5-10,je vous le conseille le produit est magnifique,3
54030,18812,1153,18812,1,2020-4-11,j aime bien ,4
11813,18814,2013,18814,1,2020-3-4,je suis deçu,2
57363,18914,2046,18914,1,2021-11-24,je vous le conseille le produit est magnifique,4
79665,18919,1710,18919,1,2020-10-19,je suis deçu,2
36820,18960,666,18960,1,2021-11-22,tres mauvaise qualité,1
1650,18988,2018,18988,2,2021-1-28,top,2
14768,19046,1429,19046,1,2021-10-15,tres mauvaise qualité,5
18346,19068,5,19068,2,2021-11-24,flop,4
18648,19121,255,19121,3,2020-1-9,j adoooore ce produt,1
44153,19205,229,19205,1,2021-2-6,j aime bien ,5
61495,19359,2135,19359,3,2021-2-18,je vous le conseille le produit est magnifique,4
82794,19377,2016,19377,1,2020-9-22,top,5
54434,19428,960,19428,1,2021-3-26,je suis contente,5
35194,19445,1278,19445,1,2021-3-4,j aime bien ,1
65535,19503,282,19503,1,2021-6-5,flop,1
31177,19578,1149,19578,2,2020-4-15,j aime pas trop,1
